time,input,GL,EXP20
12.7,1,1.0842,1.00165
12.75,1,1.08501,1.00178
12.8,1,1.08587,1.0019
12.85,1,1.08667,1.00201
12.9,1,1.08741,1.00211
12.95,1,1.0881,1.0022
13,1,1.08873,1.00228
13.05,1,1.0893,1.00235
13.1,1,1.08983,1.00242
13.15,1,1.09031,1.00247
13.2,1,1.09075,1.00251
13.25,1,1.09114,1.00255
13.3,1,1.09148,1.00258
13.35,1,1.09179,1.00261
13.4,1,1.09206,1.00262
13.45,1,1.09229,1.00263
13.5,1,1.09248,1.00264
13.55,1,1.09264,1.00264
13.6,1,1.09277,1.00263
13.65,1,1.09287,1.00262
13.7,1,1.09294,1.00261
13.75,1,1.09298,1.00259
13.8,1,1.093,1.00257
13.85,1,1.09299,1.00255
13.9,1,1.09296,1.00252
13.95,1,1.09291,1.00249
14,1,1.09283,1.00246
14.05,1,1.09274,1.00242
14.1,1,1.09263,1.00239
14.15,1,1.0925,1.00235
14.2,1,1.09236,1.00231
14.25,1,1.0922,1.00227
14.3,1,1.09203,1.00222
14.35,1,1.09184,1.00218
14.4,1,1.09164,1.00214
14.45,1,1.09143,1.00209
14.5,1,1.09121,1.00204
14.55,1,1.09098,1.002
14.6,1,1.09075,1.00195
14.65,1,1.0905,1.0019
14.7,1,1.09025,1.00186
14.75,1,1.08998,1.00181
14.8,1,1.08972,1.00176
14.85,1,1.08944,1.00172
14.9,1,1.08916,1.00167
14.95,1,1.08888,1.00163
15,1,1.08859,1.00158
15.05,1,1.0883,1.00154
15.1,1,1.088,1.00149
15.15,1,1.0877,1.00145
15.2,1,1.0874,1.0014
15.25,1,1.0871,1.00136
15.3,1,1.08679,1.00132
15.35,1,1.08648,1.00128
15.4,1,1.08617,1.00124
15.45,1,1.08585,1.0012
15.5,1,1.08554,1.00116
15.55,1,1.08522,1.00113
15.6,1,1.0849,1.00109
15.65,1,1.08458,1.00105
15.7,1,1.08426,1.00102
15.75,1,1.08394,1.00099
15.8,1,1.08362,1.00095
15.85,1,1.08329,1.00092
15.9,1,1.08297,1.00089
15.95,1,1.08264,1.00086
16,1,1.08232,1.00083
16.05,1,1.08199,1.0008
16.1,1,1.08166,1.00078
16.15,1,1.08133,1.00075
16.2,1,1.081,1.00072
16.25,1,1.08067,1.0007
16.3,1,1.08034,1.00068
16.35,1,1.08001,1.00065
16.4,1,1.07968,1.00063
16.45,1,1.07934,1.00061
16.5,1,1.07901,1.00059
16.55,1,1.07867,1.00057
16.6,1,1.07834,1.00055
16.65,1,1.078,1.00053
16.7,1,1.07766,1.00051
16.75,1,1.07732,1.0005
16.8,1,1.07698,1.00048
16.85,1,1.07663,1.00046
16.9,1,1.07629,1.00045
16.95,1,1.07594,1.00043
17,1,1.07559,1.00042
17.05,1,1.07524,1.00041
17.1,1,1.07489,1.00039
17.15,1,1.07453,1.00038
17.2,1,1.07418,1.00037
17.25,1,1.07382,1.00036
17.3,1,1.07346,1.00035
17.35,1,1.07309,1.00034
17.4,1,1.07273,1.00033
17.45,1,1.07236,1.00032
17.5,1,1.07199,1.00031
17.55,1,1.07162,1.0003
17.6,1,1.07124,1.00029
17.65,1,1.07086,1.00028
17.7,1,1.07048,1.00028
17.75,1,1.0701,1.00027
17.8,1,1.06971,1.00026
17.85,1,1.06932,1.00026
17.9,1,1.06893,1.00025
17.95,1,1.06853,1.00024
18,1,1.06813,1.00024
18.05,1,1.06773,1.00023
18.1,1,1.06732,1.00023
18.15,1,1.06691,1.00022
18.2,1,1.0665,1.00022
18.25,1,1.06608,1.00021
18.3,1,1.06566,1.00021
18.35,1,1.06524,1.0002
18.4,1,1.06481,1.0002
18.45,1,1.06438,1.0002
18.5,1,1.06395,1.00019
18.55,1,1.06351,1.00019
18.6,1,1.06307,1.00019
18.65,1,1.06262,1.00018
18.7,1,1.06217,1.00018
18.75,1,1.06172,1.00018
18.8,1,1.06127,1.00017
18.85,1,1.06081,1.00017
18.9,1,1.06034,1.00017
18.95,1,1.05988,1.00016
19,1,1.0594,1.00016
19.05,1,1.05893,1.00016
19.1,1,1.05845,1.00016
19.15,1,1.05797,1.00015
19.2,1,1.05748,1.00015
19.25,1,1.05699,1.00015
19.3,1,1.0565,1.00015
19.35,1,1.056,1.00014
19.4,1,1.0555,1.00014
19.45,1,1.05499,1.00014
19.5,1,1.05449,1.00014
19.55,1,1.05397,1.00014
19.6,1,1.05346,1.00013
19.65,1,1.05294,1.00013
19.7,1,1.05241,1.00013
19.75,1,1.05189,1.00013
19.8,1,1.05135,1.00013
19.85,1,1.05082,1.00012
19.9,1,1.05028,1.00012
19.95,1,1.04974,1.00012
20,1,1.04919,1.00012
20.05,1,1.04865,1.00012
20.1,1,1.04809,1.00012
20.15,1,1.04754,1.00011
20.2,1,1.04698,1.00011
20.25,1,1.04642,1.00011
20.3,1,1.04585,1.00011
20.35,1,1.04528,1.00011
20.4,1,1.04471,1.00011
20.45,1,1.04413,1.00011
20.5,1,1.04355,1.0001
20.55,1,1.04297,1.0001
20.6,1,1.04238,1.0001
20.65,1,1.04179,1.0001
20.7,1,1.0412,1.0001
20.75,1,1.04061,1.0001
20.8,1,1.04001,1.00009
20.85,1,1.03941,1.00009
20.9,1,1.0388,1.00009
20.95,0,0.0581417,0.020039
21,0,0.057014,0.0195203
21.05,0,0.0543281,0.0189076
21.1,0,0.051171,0.0182449
21.15,0,0.0476954,0.0175484
21.2,0,0.044004,0.0168297
21.25,0,0.0401651,0.0160971
21.3,0,0.0362259,0.0153569
21.35,0,0.0322213,0.0146143
21.4,0,0.028178,0.0138735
21.45,0,0.0241176,0.0131379
21.5,0,0.0200579,0.0124103
21.55,0,0.0160137,0.0116932
21.6,0,0.0119978,0.0109887
21.65,0,0.00802073,0.0102984
21.7,0,0.00409174,0.00962388
21.75,0,0.000218534,0.00896627
21.8,0,-0.00359229,0.00832658
21.85,0,-0.00733517,0.00770563
21.9,0,-0.0110054,0.00710408
21.95,0,-0.0145992,0.00652242
22,0,-0.0181132,0.00596105
22.05,0,-0.0215449,0.00542021
22.1,0,-0.0248922,0.00490008
22.15,0,-0.0281537,0.00440072
22.2,0,-0.031328,0.00392212
22.25,0,-0.0344146,0.0034642
22.3,0,-0.0374131,0.00302679
22.35,0,-0.0403234,0.0026097
22.4,0,-0.0431458,0.00221266
22.45,0,-0.0458807,0.00183537
22.5,0,-0.0485289,0.00147748
22.55,0,-0.0510913,0.0011386
22.6,0,-0.053569,0.000818335
22.65,0,-0.0559633,0.000516238
22.7,0,-0.0582757,0.000231849
22.75,0,-0.0605076,-3.53096e-005
22.8,0,-0.0626607,-0.000285732
22.85,0,-0.0647369,-0.000519926
22.9,0,-0.0667378,-0.000738407
22.95,0,-0.0686655,-0.000941699
23,0,-0.0705218,-0.00113033
23.05,0,-0.0723088,-0.00130483
23.1,0,-0.0740286,-0.00146574
23.15,0,-0.0756831,-0.00161358
23.2,0,-0.0772745,-0.00174889
23.25,0,-0.0788049,-0.00187218
23.3,0,-0.0802764,-0.00198398
23.35,0,-0.081691,-0.0020848
23.4,0,-0.0830509,-0.00217515
23.45,0,-0.0843582,-0.00225552
23.5,0,-0.0856148,-0.0023264
23.55,0,-0.0868228,-0.00238828
23.6,0,-0.0879842,-0.00244161
23.65,0,-0.089101,-0.00248685
23.7,0,-0.0901752,-0.00252446
23.75,0,-0.0912085,-0.00255486
23.8,0,-0.0922029,-0.00257847
23.85,0,-0.0931602,-0.0025957
23.9,0,-0.0940821,-0.00260695
23.95,0,-0.0949704,-0.00261259
24,0,-0.0958268,-0.00261301
24.05,0,-0.0966529,-0.00260854
24.1,0,-0.0974502,-0.00259955
24.15,0,-0.0982204,-0.00258635
24.2,0,-0.0989648,-0.00256926
24.25,0,-0.0996849,-0.0025486
24.3,0,-0.100382,-0.00252464
24.35,0,-0.101058,-0.00249768
24.4,0,-0.101713,-0.00246797
24.45,0,-0.102349,-0.00243576
24.5,0,-0.102968,-0.00240132
24.55,0,-0.10357,-0.00236485
24.6,0,-0.104155,-0.00232659
24.65,0,-0.104727,-0.00228673
24.7,0,-0.105284,-0.00224549
24.75,0,-0.105829,-0.00220304
24.8,0,-0.106363,-0.00215955
24.85,0,-0.106885,-0.00211521
24.9,0,-0.107397,-0.00207015
24.95,0,-0.107899,-0.00202453
25,0,-0.108393,-0.00197849
25.05,0,-0.108879,-0.00193215
25.1,0,-0.109357,-0.00188564
25.15,0,-0.109829,-0.00183906
25.2,0,-0.110294,-0.00179253
25.25,0,-0.110754,-0.00174613
25.3,0,-0.111209,-0.00169996
25.35,0,-0.111659,-0.0016541
25.4,0,-0.112104,-0.00160862
25.45,0,-0.112546,-0.0015636
25.5,0,-0.112984,-0.00151909
25.55,0,-0.113419,-0.00147516
25.6,0,-0.103824,-0.00141722
25.65,0,-0.0944498,-0.00136044
25.7,0,-0.0853305,-0.00130492
25.75,0,-0.0764886,-0.00125074
25.8,0,-0.0679403,-0.00119795
25.85,0,-0.059697,-0.0011466
25.9,0,-0.0517669,-0.00109672
25.95,0,-0.0441553,-0.00104833
26,0,-0.0368652,-0.00100144
26.05,0,-0.029898,-0.000956074
26.1,0,-0.0232534,-0.000912225
26.15,0,-0.0169299,-0.000869894
26.2,0,-0.0109247,-0.000829075
26.25,0,-0.00523426,-0.000789758
26.3,0,0.000145987,-0.00075193
26.35,0,0.0052212,-0.000715574
26.4,0,0.00999717,-0.00068067
26.45,0,0.0144802,-0.000647196
26.5,0,0.0186771,-0.000615128
26.55,0,0.0225949,-0.000584439
26.6,0,0.0262411,-0.000555101
26.65,0,0.0296234,-0.000527084
26.7,0,0.0327496,-0.000500357
26.75,0,0.0356279,-0.000474889
26.8,0,0.0382664,-0.000450645
26.85,0,0.0406733,-0.000427593
26.9,0,0.0428569,-0.000405698
26.95,0,0.0448256,-0.000384925
27,0,0.0465876,-0.000365239
27.05,0,0.0481512,-0.000346605
27.1,0,0.0495246,-0.000328988
27.15,0,0.0507159,-0.000312351
27.2,0,0.0517331,-0.000296661
27.25,0,0.0525843,-0.000281881
27.3,0,0.0532771,-0.000267977
27.35,0,0.0538192,-0.000254915
27.4,0,0.0542182,-0.000242661
27.45,0,0.0544813,-0.000231181
27.5,0,0.0546158,-0.000220442
27.55,0,0.0546287,-0.000210413
27.6,0,0.0545268,-0.000201061
27.65,0,0.0543168,-0.000192356
27.7,0,0.054005,-0.000184266
27.75,0,0.0535978,-0.000176763
27.8,0,0.0531012,-0.000169818
27.85,0,0.0525212,-0.000163402
27.9,0,0.0518633,-0.000157488
27.95,0,0.051133,-0.000152049
28,0,0.0503358,-0.000147061
28.05,0,0.0494765,-0.000142498
28.1,0,0.0485601,-0.000138335
28.15,0,0.0475914,-0.000134551
28.2,0,0.0465748,-0.000131121
28.25,0,0.0455146,-0.000128025
28.3,0,0.0444149,-0.000125242
28.35,0,0.0432798,-0.000122751
28.4,0,0.0421129,-0.000120534
28.45,0,0.0409178,-0.000118571
28.5,0,0.039698,-0.000116846
28.55,0,0.0384567,-0.000115342
28.6,0,0.037197,-0.000114041
28.65,0,0.0359219,-0.000112929
28.7,0,0.0346339,-0.000111991
28.75,0,0.0333359,-0.000111213
28.8,0,0.0320302,-0.000110581
28.85,0,0.0307192,-0.000110083
28.9,0,0.0294049,-0.000109707
28.95,0,0.0280896,-0.000109441
29,0,0.0267751,-0.000109275
29.05,0,0.0254631,-0.000109198
29.1,0,0.0241554,-0.000109201
29.15,0,0.0228535,-0.000109274
29.2,0,0.0215588,-0.000109409
29.25,0,0.0202727,-0.000109599
29.3,0,0.0189964,-0.000109835
29.35,0,0.017731,-0.00011011
29.4,0,0.0164775,-0.000110418
29.45,0,0.015237,-0.000110753
29.5,0,0.0140102,-0.000111108
29.55,0,0.0127979,-0.00011148
29.6,0,0.0116008,-0.000111862
29.65,0,0.0104196,-0.00011225
29.7,0,0.0092548,-0.000112641
29.75,0,0.00810683,-0.000113029
29.8,0,0.00697614,-0.000113412
29.85,0,0.00586308,-0.000113787
29.9,0,0.00476796,-0.00011415
29.95,0,0.00369102,-0.000114499
30,0,0.00263245,-0.000114831
30.05,0,0.0015924,-0.000115145
30.1,0,0.000570961,-0.000115438
30.15,0,-0.000431802,-0.000115709
30.2,0,-0.00141587,-0.000115956
30.25,0,-0.00238126,-0.000116178
30.3,0,-0.00332803,-0.000116374
30.35,0,-0.00425626,-0.000116543
30.4,0,-0.00516606,-0.000116685
30.45,0,-0.00605757,-0.000116798
30.5,0,-0.00693097,-0.000116883
30.55,0,-0.00778642,-0.000116938
30.6,0,-0.00862415,-0.000116964
30.65,0,-0.00944439,-0.000116961
30.7,0,-0.0102474,-0.000116928
30.75,0,-0.0110334,-0.000116866
30.8,0,-0.0118026,-0.000116776
30.85,0,-0.0125555,-0.000116656
30.9,0,-0.0132922,-0.000116508
30.95,0,-0.0140131,-0.000116332
31,0,-0.0147185,-0.000116129
31.05,0,-0.0154087,-0.000115899
31.1,0,-0.016084,-0.000115642
31.15,0,-0.0167448,-0.00011536
31.2,0,-0.0173915,-0.000115052
31.25,0,-0.0180243,-0.000114721
31.3,0,-0.0186435,-0.000114366
31.35,0,-0.0192497,-0.000113987
31.4,0,-0.019843,-0.000113587
31.45,1,0.959628,0.979938
31.5,1,0.959576,0.980456
31.55,1,0.961092,0.981068
31.6,1,0.963088,0.98173
31.65,1,0.96541,0.982425
31.7,1,0.967956,0.983143
31.75,1,0.970658,0.983875
31.8,1,0.973467,0.984614
31.85,1,0.976348,0.985356
31.9,1,0.979276,0.986096
31.95,1,0.982227,0.986831
32,1,0.985184,0.987558
32.05,1,0.988131,0.988275
32.1,1,0.991056,0.988978
32.15,1,0.993948,0.989668
32.2,1,0.996797,0.990342
32.25,1,0.999595,0.990999
32.3,1,1.00234,0.991638
32.35,1,1.00501,0.992259
32.4,1,1.00762,0.99286
32.45,1,1.01016,0.993441
32.5,1,1.01262,0.994002
32.55,1,1.01501,0.994542
32.6,1,1.01731,0.995062
32.65,1,1.01953,0.995561
32.7,1,1.02167,0.996039
32.75,1,1.02372,0.996497
32.8,1,1.02568,0.996934
32.85,1,1.02757,0.99735
32.9,1,1.02936,0.997747
32.95,1,1.03107,0.998124
33,1,1.0327,0.998482
33.05,1,1.03425,0.99882
33.1,1,1.03571,0.99914
33.15,1,1.03709,0.999442
33.2,1,1.03839,0.999726
33.25,1,1.03961,0.999993
33.3,1,1.04076,1.00024
33.35,1,1.04183,1.00048
33.4,1,1.04283,1.0007
33.45,1,1.04375,1.0009
33.5,1,1.04461,1.00109
33.55,1,1.0454,1.00126
33.6,1,1.04612,1.00142
33.65,1,1.04678,1.00157
33.7,1,1.04738,1.00171
33.75,1,1.04792,1.00183
33.8,1,1.0484,1.00194
33.85,1,1.04882,1.00204
33.9,1,1.0492,1.00213
