inputFreq	CFEAmp	CFEPhase,fullAmp	fullPhase	expAmp	expPhase	recAmp	recPhase	shiftAvgAmp1	shiftAvgPhase1	shiftAvgAmp2	shiftAvgPhase2	shiftAvgAmp3	shiftAvgPhase3	shiftAvgAmp4	shiftAvgPhase4	shiftAvgAmp5	shiftAvgPhase5	shiftAvgAmp6	shiftAvgPhase6
0.0500	0.0128	1.8413	0.4596	45.7356	11.4568	179.5113	9.8871	0.0653	11.2275	0.0450	2.2570	1.2587	0.5225	46.7391	0.5219	46.6808	2.2570	1.2587	0.5225	46.7391
0.0792	0.0128	2.9139	0.6497	45.1408	11.4569	179.2256	9.8871	0.1034	11.2275	0.0713	2.2581	1.9937	0.7502	45.7516	0.7493	45.6865	2.2581	1.9937	0.7502	45.7516
0.1256	0.0128	4.5987	0.8369	44.8153	11.4574	178.7726	9.8872	0.1639	11.2275	0.1130	2.2609	3.1573	0.9593	44.7255	0.9579	44.6438	2.2609	3.1573	0.9593	44.7255
0.1991	0.0129	7.2582	1.0745	44.9530	11.4587	178.0548	9.8873	0.2598	11.2276	0.1791	2.2677	4.9922	1.2342	44.9095	1.2320	44.8101	2.2677	4.9922	1.2342	44.9095
0.3155	0.0131	11.3423	1.3735	45.0124	11.4618	176.9175	9.8876	0.4117	11.2277	0.2839	2.2848	7.8652	1.5745	44.9068	1.5710	44.7849	2.2848	7.8652	1.5745	44.9068
0.5000	0.0137	17.3814	1.7444	44.9911	11.4697	175.1173	9.8883	0.6523	11.2280	0.4499	2.3270	12.2823	1.9990	44.8085	1.9934	44.6585	2.3270	12.2823	1.9990	44.8085
0.7924	0.0149	25.5100	2.2091	44.9872	11.4892	172.2712	9.8901	1.0333	11.2287	0.7131	2.4296	18.7928	2.5294	44.7527	2.5205	44.5685	2.4296	18.7928	2.5294	44.7527
1.2559	0.0175	34.6793	2.7913	44.9904	11.5381	167.7889	9.8946	1.6360	11.2305	1.1300	2.6675	27.5338	3.1915	44.6797	3.1774	44.4541	2.6675	27.5338	3.1915	44.6797
1.9905	0.0223	42.2861	3.5224	44.9808	11.6583	160.7967	9.9056	2.5871	11.2350	1.7903	3.1757	37.3242	4.0216	44.5773	3.9994	44.3026	3.1757	37.3242	4.0216	44.5773
3.1548	0.0297	46.0412	4.4409	44.9714	11.9460	150.1286	9.9324	4.0812	11.2462	2.8352	4.1337	45.3971	5.0608	44.4660	5.0258	44.1342	4.1337	45.3971	5.0608	44.4660
5.0000	0.0393	46.2110	5.5960	44.9546	12.5907	134.6381	9.9972	6.4055	11.2745	4.4844	5.6716	49.0979	6.3615	44.3206	6.3064	43.9243	5.6716	49.0979	6.3615	44.3206
7.9245	0.0501	45.2498	7.0491	44.9282	13.8511	114.1868	10.1507	9.9480	11.3451	7.0714	7.6678	48.1269	7.9893	44.1373	7.9029	43.6714	7.6678	48.1269	7.9893	44.1373
12.5594	0.0628	44.9310	8.8776	44.8866	15.7971	90.9251	10.5035	15.1227	11.5203	11.0683	9.7187	46.0293	10.0234	43.9075	9.8882	43.3717	9.7187	46.0293	10.0234	43.9075
19.9054	0.0790	44.9995	11.1788	44.8204	17.9846	69.0458	11.2753	22.0910	11.9479	17.0232	12.2216	46.2522	12.5610	43.6138	12.3507	43.0166	12.2216	46.2522	12.5610	43.6138
31.5479	0.0995	45.0058	14.0753	44.7156	19.8590	52.5289	12.8326	30.2526	12.9519	25.1983	15.5832	45.8192	15.7201	43.2386	15.3961	42.6036	15.5832	45.8192	15.7201	43.2386
50.0000	0.1253	45.0001	17.7212	44.5496	21.5220	43.1419	15.6521	37.9625	15.1424	34.7185	19.7865	45.1735	19.6415	42.7590	19.1490	42.1332	19.7865	45.1735	19.6415	42.7590
