freq,CFEAmp,fullAmp,expAmp,recAmp,shiftAvgAmp1,shiftAvgAmp9,shiftAvgAmp5,shiftAvgAmp3,shiftAvgAmp8
0.0500,0.7617,0.4592,0.0000,0.0000,1.8557,0.8535,0.6631,0.5098,0.5538
0.0792,0.7880,0.6493,0.0000,0.0000,1.8574,0.8760,0.7169,0.7237,0.6569
0.1256,0.8478,0.8364,0.0000,0.0000,1.8613,0.9281,0.8310,0.9479,0.8400
0.1991,0.9769,1.0737,0.0000,0.0000,1.8710,1.0444,1.0508,1.2053,1.1187
0.3155,1.2276,1.3725,0.0000,0.0000,1.8955,1.2835,1.4212,1.5327,1.4828
0.5000,1.6333,1.7430,0.0000,0.0000,1.9552,1.7010,1.9264,1.9319,1.8920
0.7924,2.1791,2.2074,0.0000,0.0000,2.0969,2.3090,2.4981,2.4226,2.3770
1.2559,2.8078,2.7890,0.0000,0.0000,2.4114,3.0157,3.1377,3.0249,2.9835
1.9905,3.5311,3.5188,0.0000,0.0000,3.0375,3.7602,3.9311,3.7595,3.7331
3.1548,4.4443,4.4344,0.0000,0.0000,4.1136,4.6710,4.8668,4.6499,4.6502
5.0000,5.6168,5.5812,0.0000,0.0000,5.6307,5.7719,5.9180,5.7232,5.7559
7.9245,7.1205,7.0092,0.0000,0.0000,7.1796,7.0580,7.0606,7.0094,7.0562
12.5594,9.1167,8.7593,0.0000,0.0000,8.6355,8.5735,8.3983,8.5565,8.5769
19.9054,12.0087,10.8137,0.0000,0.0000,10.8404,10.4683,10.2651,10.4787,10.4689
31.5479,17.4728,12.9327,0.0000,0.0000,12.9201,12.8269,12.8026,12.8333,12.8263
50.0000,19.4893,1.0383,0.0000,0.0000,1.0421,1.0593,1.0694,1.0589,1.0594
