time	input	amplitude
363	1	0.941313
364	1	0.941767
365	1	0.942209
366	1	0.94264
367	1	0.943061
368	1	0.943471
369	1	0.943872
370	1	0.944263
371	1	0.944645
372	1	0.945018
373	1	0.945383
374	1	0.94574
375	1	0.946089
376	1	0.94643
377	0	0.129509
378	0	0.113139
379	0	0.103505
380	0	0.0960535
381	0	0.0900369
382	0	0.0850055
383	0	0.0806902
384	0	0.0769199
385	0	0.0735796
386	0	0.0705879
387	0	0.0678849
388	0	0.0654248
389	0	0.063172
390	0	0.0610981
391	0	0.0591798
392	0	0.0573983
393	0	0.0557378
394	0	0.054185
395	0	0.0527288
396	0	0.0513594
397	0	0.0500686
398	0	0.0488492
399	0	0.047695
400	0	0.0466004
401	0	0.0455606
402	0	0.0445712
403	0	0.0436285
404	0	0.0427289
405	0	0.0418693
406	0	0.041047
407	0	0.0402595
408	0	0.0395044
409	0	0.0387798
410	0	0.0380835
411	0	0.0374141
412	0	0.0367697
413	0	0.0361491
414	0	0.0355508
415	0	0.0349736
416	0	0.0344164
417	0	0.033878
418	0	0.0333576
419	0	0.0328542
420	0	0.0323669
421	0	0.031895
422	0	0.0314377
423	0	0.0309943
424	0	0.0305642
425	0	0.0301468
426	0	0.0297415
427	0	0.0293477
428	0	0.0289651
429	0	0.028593
430	0	0.0282312
431	0	0.027879
432	0	0.0275362
433	0	0.0272024
434	0	0.0268772
435	0	0.0265603
436	0	0.0262514
437	0	0.0259501
438	0	0.0256562
439	0	0.0253694
440	1	0.842346
441	1	0.85877
442	1	0.868457
443	1	0.875962
444	1	0.882032
445	1	0.887117
446	1	0.891485
447	1	0.895308
448	1	0.8987
449	1	0.901744
450	1	0.904499
451	1	0.90701
452	1	0.909314
453	1	0.911439
454	1	0.913409
455	1	0.915241
456	1	0.916952
457	1	0.918555
458	1	0.920061
459	1	0.921481
460	1	0.922821
461	1	0.92409
462	1	0.925294
463	1	0.926438
464	1	0.927527
465	1	0.928565
466	1	0.929556
467	1	0.930505
468	1	0.931413
469	1	0.932283
470	1	0.933119
471	1	0.933922
472	1	0.934694
473	1	0.935438
474	1	0.936156
475	1	0.936847
476	1	0.937515
477	1	0.938161
478	1	0.938785
479	1	0.939389
480	1	0.939974
481	1	0.940542
482	1	0.941092
483	1	0.941625
484	1	0.942144
485	1	0.942647
486	1	0.943137
487	1	0.943613
488	1	0.944076
489	1	0.944527
490	1	0.944967
491	1	0.945395
492	1	0.945812
493	1	0.94622
494	1	0.946617
495	1	0.947005
496	1	0.947384
497	1	0.947754
498	1	0.948116
499	1	0.94847
500	1	0.948816
501	1	0.949154
502	1	0.949485
503	0	0.132554
504	0	0.116173
505	0	0.106531
506	0	0.0990692
507	0	0.0930432
508	0	0.0880027
509	0	0.0836784
510	0	0.0798994
511	0	0.0765504
512	0	0.0735122
513	0	0.0707664
514	0	0.0682657
515	0	0.0659742
516	0	0.0638629
517	0	0.0619086
518	0	0.0600922
519	0	0.0583977
520	0	0.0568119
521	0	0.0553233
522	0	0.0539224
523	0	0.0526008
524	0	0.0513512
525	0	0.0501674
526	0	0.0490438
527	0	0.0479754
528	0	0.0469581
529	0	0.0459878
530	0	0.045061
531	0	0.0441748
532	0	0.0433263
533	0	0.0425128
534	0	0.0417322
535	0	0.0409824
536	0	0.0402613
537	0	0.0395673
538	0	0.0388988
539	0	0.0382542
540	0	0.0376323
541	0	0.0370317
542	0	0.0364514
543	0	0.0358902
544	0	0.0353472
545	0	0.0348215
546	0	0.0343121
547	0	0.0338183
548	0	0.0333393
549	0	0.0328745
550	0	0.0324231
551	0	0.0319847
552	0	0.0315585
553	0	0.0311441
554	0	0.030741
555	0	0.0303486
556	0	0.0299666
557	0	0.0295945
558	0	0.0292319
559	0	0.0288785
560	0	0.0285338
561	0	0.0281976
562	0	0.0278695
563	0	0.0275492
564	0	0.0272364
565	0	0.0269309
566	1	0.843888
567	1	0.860294
568	1	0.869963
569	1	0.87745
570	1	0.883502
571	1	0.888569
572	1	0.892919
573	1	0.896724
574	1	0.900099
575	1	0.903125
576	1	0.905862
577	1	0.908357
578	1	0.910644
579	1	0.912752
580	1	0.914704
581	1	0.916519
582	1	0.918214
583	1	0.9198
584	1	0.92129
585	1	0.922693
586	1	0.924017
587	1	0.92527
588	1	0.926457
589	1	0.927585
590	1	0.928658
591	1	0.929681
592	1	0.930656
593	1	0.931589
594	1	0.932481
595	1	0.933336
596	1	0.934157
597	1	0.934945
598	1	0.935702
599	1	0.936431
600	1	0.937133
601	1	0.93781
602	1	0.938463
603	1	0.939093
604	1	0.939703
605	1	0.940293
606	1	0.940863
607	1	0.941416
608	1	0.941951
609	1	0.942471
610	1	0.942975
611	1	0.943464
612	1	0.94394
613	1	0.944402
614	1	0.944851
615	1	0.945289
616	1	0.945714
617	1	0.946129
618	1	0.946533
619	1	0.946926
620	1	0.94731
621	1	0.947685
622	1	0.94805
623	1	0.948407
624	1	0.948756
625	1	0.949096
626	1	0.949429
627	1	0.949754
628	1	0.950073
629	0	0.133128
630	0	0.116735
631	0	0.10708
632	0	0.0996055
633	0	0.0935668
634	0	0.0885138
635	0	0.084177
636	0	0.0803855
637	0	0.0770242
638	0	0.0740117
639	0	0.071288
640	0	0.0688075
641	0	0.0665345
642	0	0.0644405
643	0	0.0625024
644	0	0.0607013
645	0	0.0590213
646	0	0.0574491
647	0	0.0559737
648	0	0.0545852
649	0	0.0532755
650	0	0.0520374
651	0	0.0508646
652	0	0.0497515
653	0	0.0486933
654	0	0.0476857
655	0	0.0467249
656	0	0.0458073
657	0	0.0449299
658	0	0.0440899
659	0	0.0432847
660	0	0.0425121
661	0	0.04177
662	0	0.0410564
663	0	0.0403697
664	0	0.0397082
665	0	0.0390706
666	0	0.0384553
667	0	0.0378613
668	0	0.0372873
669	0	0.0367322
670	0	0.0361952
671	0	0.0356753
672	0	0.0351715
673	0	0.0346833
674	0	0.0342097
675	0	0.0337501
676	0	0.0333039
677	0	0.0328704
678	0	0.0324491
679	0	0.0320395
680	0	0.031641
681	0	0.0312531
682	0	0.0308755
683	0	0.0305078
684	0	0.0301494
685	0	0.0298
686	0	0.0294594
687	0	0.0291271
688	0	0.0288028
689	0	0.0284862
690	0	0.0281771
691	0	0.0278752
692	1	0.844836
693	1	0.861245
694	1	0.870918
695	1	0.878408
696	1	0.884463
697	1	0.889533
698	1	0.893886
699	1	0.897694
700	1	0.901072
701	1	0.904101
702	1	0.906841
703	1	0.909338
704	1	0.911628
705	1	0.913739
706	1	0.915693
707	1	0.917511
708	1	0.919208
709	1	0.920797
710	1	0.922289
711	1	0.923694
712	1	0.925021
713	1	0.926276
714	1	0.927465
715	1	0.928595
716	1	0.92967
717	1	0.930695
718	1	0.931673
719	1	0.932607
720	1	0.933501
721	1	0.934358
722	1	0.93518
723	1	0.93597
724	1	0.936729
725	1	0.93746
726	1	0.938163
727	1	0.938842
728	1	0.939496
729	1	0.940129
730	1	0.94074
731	1	0.941331
732	1	0.941903
733	1	0.942457
734	1	0.942994
735	1	0.943515
736	1	0.94402
737	1	0.944511
738	1	0.944988
739	1	0.945451
740	1	0.945902
741	1	0.94634
742	1	0.946767
743	1	0.947182
744	1	0.947587
745	1	0.947982
746	1	0.948367
747	1	0.948743
748	1	0.949109
749	1	0.949467
750	1	0.949816
751	1	0.950158
752	1	0.950492
753	1	0.950818
754	0	0.133881
755	0	0.117496
756	0	0.107847
757	0	0.10038
758	0	0.0943482
759	0	0.0893017
