time,f(t),IIR_CFE,Grunwald,exponential,recursive,shiftAvg1,shiftAvg9,shiftAvg5,shiftAvg3,shiftAvg8
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0100,0.0788,1.1148,0.7883,0.0000,0.0000,0.7883,0.7883,0.7883,0.7883,0.7883
0.0200,0.1572,1.1079,1.1776,0.0000,0.0000,1.1776,1.1776,1.1776,1.1776,1.1776
0.0300,0.2345,1.6515,1.4609,0.0000,0.0000,1.4609,1.4856,1.5000,1.4856,1.4856
0.0400,0.3104,1.6274,1.6860,0.0000,0.0000,1.6860,1.7360,1.7535,1.7372,1.7360
0.0500,0.3844,2.0112,1.8697,0.0000,0.0000,1.8697,1.9400,1.9821,1.9444,1.9400
0.0600,0.4560,1.9644,2.0202,0.0000,0.0000,2.0202,2.1027,2.1693,2.1124,2.1027
0.0700,0.5247,2.2538,2.1420,0.0000,0.0000,2.1420,2.2431,2.3188,2.2437,2.2440
0.0800,0.5902,2.1808,2.2378,0.0000,0.0000,2.2378,2.3528,2.4333,2.3629,2.3550
0.0900,0.6520,2.3991,2.3093,0.0000,0.0000,2.3093,2.4336,2.5143,2.4541,2.4375
0.1000,0.7097,2.2976,2.3579,0.0000,0.0000,2.3579,2.4866,2.5844,2.5187,2.4928
0.1100,0.7631,2.4561,2.3844,0.0000,0.0000,2.3917,2.5231,2.6269,2.5576,2.5215
0.1200,0.8116,2.3250,2.3898,0.0000,0.0000,2.4107,2.5352,2.6432,2.5715,2.5376
0.1300,0.8552,2.4309,2.3748,0.0000,0.0000,2.4147,2.5237,2.6341,2.5609,2.5305
0.1400,0.8934,2.2702,2.3402,0.0000,0.0000,2.4036,2.4895,2.6005,2.5265,2.5010
0.1500,0.9260,2.3289,2.2866,0.0000,0.0000,2.3776,2.4331,2.5434,2.4688,2.4498
0.1600,0.9529,2.1395,2.2148,0.0000,0.0000,2.3368,2.3626,2.4635,2.4059,2.3777
0.1700,0.9738,2.1558,2.1257,0.0000,0.0000,2.2814,2.2722,2.3731,2.3229,2.2856
0.1800,0.9887,1.9398,2.0201,0.0000,0.0000,2.2119,2.1632,2.2629,2.2208,2.1743
0.1900,0.9974,1.9184,1.8990,0.0000,0.0000,2.1286,2.0363,2.1338,2.1004,2.0446
0.2000,1.0000,1.6783,1.7633,0.0000,0.0000,2.0320,1.8928,1.9870,1.9630,1.9076
