freq,CFEPhase,fullPhase,expPhase,recPhase,shiftAvgPhase1,shiftAvgPhase9,shiftAvgPhase5,shiftAvgPhase3,shiftAvgPhase8
0.0500,32.2176,45.6368,0.0000,0.0000,3.3860,29.5805,41.5412,45.9446,46.0197
0.0792,39.9302,45.0216,0.0000,0.0000,5.3463,38.5145,46.3588,44.8502,45.0540
0.1256,45.0657,44.6564,0.0000,0.0000,8.4166,45.4897,47.8558,43.6848,44.1617
0.1991,46.1194,44.7314,0.0000,0.0000,13.1069,47.6626,46.2241,43.5690,44.1464
0.3155,45.3622,44.6885,0.0000,0.0000,19.9183,45.8909,45.7516,43.2152,43.9280
0.5000,44.9136,44.5022,0.0000,0.0000,28.7729,44.4493,45.1391,42.7337,43.5323
0.7924,44.9525,44.2375,0.0000,0.0000,38.0995,44.0861,44.1327,42.1031,43.0066
1.2559,44.9739,43.8282,0.0000,0.0000,44.8579,43.0458,42.7143,41.3064,42.2780
1.9905,44.9683,43.1636,0.0000,0.0000,46.4481,41.6845,40.7739,40.2789,41.2321
3.1548,44.9686,42.1168,0.0000,0.0000,42.9023,39.9027,38.2989,38.9401,39.7603
5.0000,44.9668,40.4555,0.0000,0.0000,39.4861,37.6433,35.4137,37.1916,37.6997
7.9245,44.9640,37.8236,0.0000,0.0000,38.1914,34.8829,32.5958,34.8813,34.9548
12.5594,44.9594,33.6532,0.0000,0.0000,33.9243,31.5473,30.2872,31.7134,31.5591
19.9054,44.9508,27.0460,0.0000,0.0000,26.9065,26.8560,27.0387,26.9265,26.8491
31.5479,44.9273,16.5798,0.0000,0.0000,16.5499,17.8715,18.5733,17.8434,17.8718
50.0000,180.0000,-180.0000,0.0000,0.0000,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000
