freq,CFEAmp,fullAmp,expAmp,recAmp,shiftAvgAmp1,shiftAvgAmp9,shiftAvgAmp5,shiftAvgAmp3,shiftAvgAmp8
0.0500,2.4144,2.4202,1.6150,2.3919,0.5724,1.9207,2.3176,2.3519,2.3739
0.0792,1.6885,1.6855,1.5075,1.6664,0.5721,1.7302,1.7667,1.6236,1.6426
0.1256,1.1714,1.1708,1.3467,1.1577,0.5715,1.4329,1.1749,1.1049,1.1241
0.1991,0.9187,0.9168,1.0963,0.9128,0.5699,0.9508,0.9230,0.8691,0.8842
0.3155,0.7219,0.7212,0.8203,0.7161,0.5659,0.6793,0.7109,0.6839,0.6959
0.5000,0.5709,0.5708,0.5909,0.5563,0.5560,0.5709,0.5594,0.5442,0.5518
0.7924,0.4521,0.4522,0.4384,0.4527,0.5314,0.4438,0.4386,0.4314,0.4376
1.2559,0.3585,0.3588,0.3462,0.3455,0.4737,0.3494,0.3446,0.3431,0.3477
1.9905,0.2835,0.2839,0.2844,0.2983,0.3505,0.2758,0.2710,0.2723,0.2753
3.1548,0.2248,0.2254,0.2274,0.2380,0.1795,0.2183,0.2137,0.2173,0.2190
5.0000,0.1778,0.1790,0.1781,0.1702,0.2081,0.1737,0.1697,0.1742,0.1745
7.9245,0.1403,0.1426,0.1423,0.1397,0.1321,0.1397,0.1371,0.1408,0.1401
12.5594,0.1096,0.1141,0.1139,0.1079,0.1232,0.1142,0.1140,0.1150,0.1141
19.9054,0.0832,0.0924,0.0924,0.0901,0.0928,0.0950,0.0969,0.0950,0.0949
31.5479,0.0572,0.0773,0.0773,0.0732,0.0775,0.0789,0.0801,0.0786,0.0789
50.0000,0.0001,0.0052,0.0052,0.0048,0.0048,0.0050,0.0049,0.0050,0.0050
