inputFreq,CFEAmp,CFEPhase,fullAmp,fullPhase,expAmp,expPhase,recAmp,recPhase,shiftAvgAmp1,shiftAvgPhase1,shiftAvgAmp9,shiftAvgPhase9,shiftAvgAmp5,shiftAvgPhase5,shiftAvgAmp3,shiftAvgPhase3,shiftAvgAmp8,shiftAvgPhase8
0.0500,0.7617,10.3281,0.4592,45.6368,0.0000,0.0000,0.0000,0.0000,1.8557,1.6117,0.8535,9.0286,0.6631,16.3717,0.5098,43.8358,0.5538,25.5452
0.0792,0.7880,15.8641,0.6493,45.0216,0.0000,0.0000,0.0000,0.0000,1.8574,2.5514,0.8760,13.9730,0.7169,24.1926,0.7237,45.1891,0.6569,34.1835
0.1256,0.8478,23.6153,0.8364,44.6564,0.0000,0.0000,0.0000,0.0000,1.8613,4.0381,0.9281,21.1125,0.8310,33.6528,0.9479,44.0631,0.8400,41.6770
0.1991,0.9769,32.7914,1.0737,44.7314,0.0000,0.0000,0.0000,0.0000,1.8710,6.3729,1.0444,30.1155,1.0508,42.1703,1.2053,43.6090,1.1187,45.1283
0.3155,1.2276,41.0261,1.3725,44.6885,0.0000,0.0000,0.0000,0.0000,1.8955,9.9935,1.2835,39.0763,1.4212,46.8245,1.5327,43.2369,1.4828,44.9749
0.5000,1.6333,45.7104,1.7430,44.5022,0.0000,0.0000,0.0000,0.0000,1.9552,15.4310,1.7010,44.9932,1.9264,46.8019,1.9319,42.7385,1.8920,43.6954
0.7924,2.1791,46.4469,2.2074,44.2375,0.0000,0.0000,0.0000,0.0000,2.0969,23.0313,2.3090,46.1007,2.4981,44.4274,2.4226,42.1035,2.3770,42.9835
1.2559,2.8078,45.4281,2.7890,43.8282,0.0000,0.0000,0.0000,0.0000,2.4114,32.1763,3.0157,43.7632,3.1377,42.6107,3.0249,41.3058,2.9835,42.2713
1.9905,3.5311,44.8870,3.5188,43.1636,0.0000,0.0000,0.0000,0.0000,3.0375,40.5046,3.7602,41.5235,3.9311,40.7730,3.7595,40.2790,3.7331,41.2320
3.1548,4.4443,44.9481,4.4344,42.1168,0.0000,0.0000,0.0000,0.0000,4.1136,44.7959,4.6710,39.8946,4.8668,38.2997,4.6499,38.9401,4.6502,39.7603
5.0000,5.6168,44.9714,5.5812,40.4555,0.0000,0.0000,0.0000,0.0000,5.6307,43.1681,5.7719,37.6455,5.9180,35.4136,5.7232,37.1916,5.7559,37.6997
7.9245,7.1205,44.9635,7.0092,37.8236,0.0000,0.0000,0.0000,0.0000,7.1796,37.2412,7.0580,34.8829,7.0606,32.5959,7.0094,34.8813,7.0562,34.9549
12.5594,9.1167,44.9594,8.7593,33.6532,0.0000,0.0000,0.0000,0.0000,8.6355,33.6944,8.5735,31.5473,8.3983,30.2872,8.5565,31.7134,8.5769,31.5591
19.9054,12.0087,44.9507,10.8137,27.0460,0.0000,0.0000,0.0000,0.0000,10.8404,26.6283,10.4683,26.8560,10.2651,27.0387,10.4787,26.9265,10.4689,26.8491
31.5479,17.4728,44.9276,12.9327,16.5798,0.0000,0.0000,0.0000,0.0000,12.9201,16.3251,12.8269,17.8715,12.8026,18.5733,12.8333,17.8434,12.8263,17.8718
50.0000,19.4893,180.0000,1.0383,-180.0000,0.0000,0.0000,0.0000,0.0000,1.0421,-180.0000,1.0593,-180.0000,1.0694,-180.0000,1.0589,-180.0000,1.0594,-180.0000
