inputFreq,CFEAmp,CFEPhase,fullAmp,fullPhase,expAmp,expPhase,recAmp,recPhase,shiftAvgAmp1,shiftAvgPhase1,shiftAvgAmp9,shiftAvgPhase9,shiftAvgAmp5,shiftAvgPhase5,shiftAvgAmp3,shiftAvgPhase3,shiftAvgAmp8,shiftAvgPhase8
0.0500,0.4584,45.0177,0.4592,45.6368,1.1927,141.3532,0.9989,6.2430,1.1274,4.4402,0.4710,39.0956,0.4851,46.5184,0.5157,45.9446,0.4986,46.0197
0.0792,0.6457,45.0976,0.6493,45.0216,1.2442,119.9471,1.0143,9.7027,1.1346,6.9946,0.6327,45.0079,0.6894,47.1469,0.7387,44.8502,0.7117,45.0540
0.1256,0.8376,44.8476,0.8364,44.6564,1.4246,95.6643,1.0483,14.8258,1.1518,10.9579,0.8691,47.4547,0.9144,46.3939,0.9428,43.6848,0.9108,44.1617
0.1991,1.0731,44.9538,1.0737,44.7314,1.6451,72.0812,1.1225,21.7577,1.1936,16.8666,1.1488,45.8914,1.1723,46.2080,1.2062,43.5690,1.1688,44.1464
0.3155,1.3729,45.0075,1.3725,44.6885,1.8914,53.9401,1.2755,29.9362,1.2927,24.9926,1.4573,45.0227,1.5178,45.8242,1.5324,43.2152,1.4891,43.9280
0.5000,1.7436,44.9693,1.7430,44.5022,2.1024,43.6457,1.5537,37.7120,1.5085,34.4830,1.8629,44.7912,1.9441,45.1391,1.9320,42.7337,1.8847,43.5323
0.7924,2.2083,44.9650,2.2074,44.2375,2.3526,40.4584,2.0090,43.2879,1.9292,42.7746,2.3643,44.0407,2.4776,44.1338,2.4227,42.1031,2.3759,43.0066
1.2559,2.7907,44.9719,2.7890,43.8282,2.7659,41.6050,2.6642,45.8647,2.6320,46.8267,2.9863,43.0458,3.1354,42.7141,3.0249,41.3064,2.9835,42.2780
1.9905,3.5230,44.9686,3.5188,43.1636,3.4655,43.1954,3.5693,44.9005,3.5828,45.3506,3.7496,41.6848,3.9318,40.7739,3.7595,40.2789,3.7332,41.2321
3.1548,4.4462,44.9685,4.4344,42.1168,4.4456,42.3987,4.4909,41.4664,4.5048,41.1778,4.6733,39.9028,4.8668,38.2989,4.6499,38.9401,4.6502,39.7603
5.0000,5.6168,44.9670,5.5812,40.4555,5.5775,40.3530,5.5402,40.7443,5.5296,40.8939,5.7719,37.6433,5.9181,35.4137,5.7232,37.1916,5.7559,37.6997
7.9245,7.1206,44.9639,7.0092,37.8236,7.0135,37.8123,6.9890,37.5976,6.9823,37.5462,7.0579,34.8829,7.0606,32.5958,7.0094,34.8813,7.0562,34.9548
12.5594,9.1167,44.9592,8.7593,33.6532,8.7598,33.6412,8.7378,33.6644,8.7320,33.6930,8.5735,31.5473,8.3983,30.2872,8.5565,31.7134,8.5769,31.5591
19.9054,12.0088,44.9514,10.8137,27.0460,10.8145,27.0450,10.8032,26.9891,10.7992,26.9858,10.4683,26.8560,10.2651,27.0387,10.4787,26.9265,10.4689,26.8491
31.5479,17.4730,44.9262,12.9327,16.5798,12.9331,16.5806,12.9279,16.5315,12.9260,16.5310,12.8269,17.8715,12.8026,18.5733,12.8333,17.8434,12.8263,17.8718
50.0000,36.4855,180.0000,1.0383,-180.0000,1.0383,-180.0000,1.0392,-180.0000,1.0392,-180.0000,1.0593,-180.0000,1.0694,-180.0000,1.0589,-180.0000,1.0594,-180.0000
