freq,CFEPhase,fullPhase,expPhase,recPhase,shiftAvgPhase1,shiftAvgPhase9,shiftAvgPhase5,shiftAvgPhase3,shiftAvgPhase8
0.0500,-0.8882,0,-0.1260,-4.7114,-0.0104,-0.1426,-0.2748,-17.2378,-17.1780
0.0792,-1.4038,0,-0.1997,-6.2602,-0.0165,-0.2259,-0.4353,-25.7637,-25.4464
0.1256,-2.2261,0,-0.3165,-6.6930,-0.0261,-0.3581,-0.6901,-22.8338,-22.8660
0.1991,-3.5172,0,-0.5017,-7.5142,-0.0413,-0.5676,-1.0936,-25.2689,-25.1688
0.3155,-5.5341,0,-0.7951,-8.3966,-0.0655,-0.8996,-1.7331,-25.4770,-25.5371
0.5000,-8.5980,0,-1.2597,-9.3854,-0.1038,-1.4254,-2.7447,-26.1923,-26.1827
0.7924,-13.0160,0,-1.9951,-10.0287,-0.1646,-2.2581,-4.3430,-26.5151,-26.4909
1.2559,-18.6242,0,-3.1568,-11.3475,-0.2608,-3.5751,-6.8558,-26.6131,-26.6337
1.9905,-24.0988,0,-4.9821,-12.6207,-0.4133,-5.6508,-10.7544,-26.7674,-26.7718
3.1548,-27.3294,0,-7.8140,-13.2946,-0.6551,-8.8948,-16.6002,-26.8235,-26.8307
5.0000,-27.7414,0,-12.0728,-15.2249,-1.0382,-13.8523,-24.5150,-26.8447,-26.8697
7.9245,-27.1107,0,-18.0268,-16.8000,-1.6451,-20.9676,-31.7328,-26.8445,-26.8766
12.5594,-26.9143,0,-25.1256,-17.4938,-2.6061,-29.2410,-29.0478,-26.8121,-26.8611
19.9054,-26.9867,0,-31.2558,-20.0947,-4.1256,-31.7530,-26.5776,-26.7383,-26.8155
31.5479,-26.9936,0,-33.6657,-21.4801,-6.5195,-25.6326,-27.5634,-26.6192,-26.7316
50.0000,-26.9908,0,-31.7171,-22.2201,-10.2559,-27.4861,-27.4389,-26.4296,-26.5928
79.2447,-26.9937,0,-27.8423,-24.7477,-15.9417,-26.9200,-27.2535,-26.1393,-26.3711
125.5943,-26.9961,0,-25.1892,-24.2944,-23.9512,-26.5746,-26.8532,-25.7072,-26.0234
199.0536,-26.9975,0,-25.0485,-28.3923,-32.0767,-25.9470,-26.1101,-25.0734,-25.4831
315.4787,-26.9983,0,-25.6946,-26.7347,-26.7693,-24.9470,-24.8688,-24.1638,-24.6505
500.0000,-26.9988,0,-24.1152,-23.2997,-22.8948,-23.4572,-22.9790,-22.8918,-23.3828
792.4466,-26.9992,0,-22.7954,-21.5735,-19.6059,-21.3908,-20.4151,-21.1586,-21.4670
1255.9432,-26.9994,0,-20.1956,-19.2929,-18.7690,-18.7497,-17.6039,-18.8459,-18.8023
1990.5359,-26.9995,0,-16.2639,-15.7371,-14.5196,-15.5981,-15.1619,-15.7589,-15.5872
3154.7867,-26.9996,0,-9.9758,-8.9661,-8.5966,-10.9470,-11.6533,-10.9136,-10.9438
5000.0000,0.0000,0,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000
