inputFreq,CFEAmp,CFEPhase,fullAmp,fullPhase,expAmp,expPhase,recAmp,recPhase,shiftAvgAmp1,shiftAvgPhase1,shiftAvgAmp9,shiftAvgPhase9,shiftAvgAmp5,shiftAvgPhase5,shiftAvgAmp3,shiftAvgPhase3,shiftAvgAmp8,shiftAvgPhase8
0.0500,1.7850,1.8685,0,0,11.4568,179.5113,9.8871,0.0653,11.2275,0.0450,3.1286,0.6399,2.2570,1.2587,0.5225,46.7391,0.5018,46.4434
0.0792,1.7872,2.9641,0,0,11.4569,179.2256,9.8871,0.1034,11.2275,0.0713,3.1290,1.0140,2.2581,1.9937,0.7502,45.7516,0.7168,45.5573
0.1256,1.7920,4.6876,0,0,11.4574,178.7726,9.8872,0.1639,11.2275,0.1130,3.1300,1.6068,2.2609,3.1573,0.9593,44.7255,0.9184,44.7769
0.1991,1.8048,7.3872,0,0,11.4587,178.0548,9.8873,0.2598,11.2276,0.1791,3.1325,2.5450,2.2677,4.9922,1.2342,44.9095,1.1811,44.9390
0.3155,1.8360,11.5408,0,0,11.4618,176.9175,9.8876,0.4117,11.2277,0.2839,3.1387,4.0273,2.2848,7.8652,1.5745,44.9068,1.5085,44.9716
0.5000,1.9116,17.6609,0,0,11.4697,175.1173,9.8883,0.6523,11.2280,0.4499,3.1543,6.3573,2.3270,12.2823,1.9990,44.8085,1.9153,44.9219
0.7924,2.0868,25.8862,0,0,11.4892,172.2712,9.8901,1.0333,11.2287,0.7131,3.1930,9.9768,2.4296,18.7928,2.5294,44.7527,2.4244,44.8854
1.2559,2.4580,35.0907,0,0,11.5381,167.7889,9.8946,1.6360,11.2305,1.1300,3.2879,15.4393,2.6675,27.5338,3.1915,44.6797,3.0617,44.8516
1.9905,3.1436,42.6422,0,0,11.6583,160.7967,9.9056,2.5871,11.2350,1.7903,3.5137,23.1532,3.1757,37.3242,4.0216,44.5773,3.8609,44.7983
3.1548,4.2047,46.2908,0,0,11.9460,150.1286,9.9324,4.0812,11.2462,2.8352,4.0170,32.6503,4.1337,45.3971,5.0608,44.4660,4.8636,44.7367
5.0000,5.5610,46.3421,0,0,12.5907,134.6381,9.9972,6.4055,11.2745,4.4844,5.0256,41.7879,5.6716,49.0979,6.3615,44.3206,6.1221,44.6553
7.9245,7.0927,45.2901,0,0,13.8511,114.1868,10.1507,9.9480,11.3451,7.0714,6.7714,47.5362,7.6678,48.1269,7.9893,44.1373,7.7015,44.5482
12.5594,8.8911,44.9246,0,0,15.7971,90.9251,10.5035,15.1227,11.5203,11.0683,9.2738,48.2850,9.7187,46.0293,10.0234,43.9075,9.6826,44.4048
19.9054,11.1764,44.9858,0,0,17.9846,69.0458,11.2753,22.0910,11.9479,17.0232,12.0535,45.7884,12.2216,46.2522,12.5610,43.6138,12.1660,44.2101
31.5479,14.0754,45.0005,0,0,19.8590,52.5289,12.8326,30.2526,12.9519,25.1983,14.9366,44.9950,15.5832,45.8192,15.7201,43.2386,15.2759,43.9429
50.0000,17.7223,44.9999,0,0,21.5220,43.1419,15.6521,37.9625,15.1424,34.7185,18.9512,44.8323,19.7865,45.1735,19.6415,42.7590,19.1642,43.5720
79.2447,22.3139,44.9998,0,0,23.7706,40.3159,20.2417,43.4637,19.3969,42.9910,23.9059,44.0856,25.0614,44.1791,24.4909,42.1424,24.0151,43.0523
125.5943,28.0969,44.9997,0,0,27.8157,41.6171,26.8065,45.9765,26.4834,46.9756,30.0812,43.0863,31.5920,42.7539,30.4603,41.3472,30.0465,42.3186
199.0536,35.3866,44.9997,0,0,34.8016,43.2563,35.8901,44.9719,36.0292,45.4254,37.6765,41.7281,39.5137,40.8164,37.7652,40.3190,37.5053,41.2776
315.4787,44.5938,44.9997,0,0,44.6018,42.4466,45.0620,41.4930,45.2023,41.1947,46.8824,39.9448,48.8267,38.3386,46.6413,38.9830,46.6471,39.8045
500.0000,56.2811,44.9997,0,0,55.8944,40.3949,55.5132,40.7956,55.4058,40.9507,57.8410,37.6852,59.3040,35.4514,57.3468,37.2358,57.6792,37.7434
792.4466,71.3052,44.9996,0,0,70.2410,37.8558,69.9875,37.6367,69.9195,37.5840,70.6772,34.9243,70.6960,32.6328,70.1891,34.9228,70.6604,34.9968
1255.9432,91.2573,44.9996,0,0,87.6859,33.6838,87.4609,33.7073,87.4009,33.7372,85.8108,31.5883,84.0476,30.3257,85.6419,31.7563,85.8449,31.5998
1990.5359,120.1666,44.9995,0,0,108.2089,27.0837,108.0925,27.0266,108.0515,27.0230,104.7388,26.8950,102.7006,27.0811,104.8420,26.9653,104.7445,26.8881
3154.7867,174.7768,44.9993,0,0,129.3581,16.6075,129.3053,16.5571,129.2850,16.5566,128.2951,17.9021,128.0544,18.6049,128.3591,17.8739,128.2897,17.9024
5000.0000,1696.9639,-0.0000,0,0,21.6807,-0.0000,21.6982,-0.0000,21.6982,-0.0000,22.1202,-0.0000,22.3305,-0.0000,22.1103,-0.0000,22.1207,-0.0000
