freq,CFEAmp,fullAmp,expAmp,recAmp,shiftAvgAmp1,shiftAvgAmp9,shiftAvgAmp5,shiftAvgAmp3,shiftAvgAmp8
0.0500,3.0111,0,1.8697,8.1747,9.2365,4.2954,3.5308,0.6363,0.6430
0.0792,3.0112,0,1.8697,8.1747,9.2365,4.2954,3.5308,0.8189,0.7597
0.1256,3.0112,0,1.8698,8.1747,9.2365,4.2954,3.5308,0.9552,0.9162
0.1991,3.0113,0,1.8698,8.1747,9.2365,4.2954,3.5308,1.1156,1.0907
0.3155,3.0115,0,1.8699,8.1747,9.2365,4.2954,3.5309,1.2951,1.2659
0.5000,3.0119,0,1.8702,8.1747,9.2365,4.2955,3.5311,1.4979,1.4627
0.7924,3.0132,0,1.8708,8.1748,9.2365,4.2956,3.5315,1.7273,1.6873
1.2559,3.0162,0,1.8725,8.1748,9.2365,4.2960,3.5326,1.9891,1.9430
1.9905,3.0239,0,1.8767,8.1750,9.2365,4.2969,3.5354,2.2882,2.2350
3.1548,3.0429,0,1.8873,8.1753,9.2365,4.2992,3.5424,2.6298,2.5691
5.0000,3.0898,0,1.9135,8.1761,9.2366,4.3049,3.5600,3.0214,2.9518
7.9245,3.2013,0,1.9777,8.1778,9.2367,4.3191,3.6034,3.4701,3.3905
12.5594,3.4492,0,2.1296,8.1816,9.2371,4.3547,3.7091,3.9844,3.8937
19.9054,3.9299,0,2.4663,8.1900,9.2381,4.4420,3.9553,4.5741,4.4708
31.5479,4.6771,0,3.1381,8.2083,9.2407,4.6502,4.4784,5.2499,5.1329
50.0000,5.5670,0,4.3128,8.2478,9.2470,5.1142,5.4163,6.0243,5.8925
79.2447,6.4574,0,6.0798,8.3303,9.2629,6.0205,6.6753,6.9111,6.7636
125.5943,7.3958,0,8.2699,8.4974,9.3027,7.4241,7.7721,7.9256,7.7625
199.0536,8.4895,0,10.3627,8.8247,9.4015,8.9001,8.8389,9.0848,8.9071
315.4787,9.7535,0,11.8789,9.4185,9.6430,10.0490,10.2586,10.4069,10.2179
500.0000,11.1988,0,12.8426,10.4175,10.2124,11.6070,11.8594,11.9110,11.7173
792.4466,12.8579,0,13.6427,11.9867,11.4523,13.3640,13.7044,13.6164,13.4295
1255.9432,14.7642,0,14.7774,14.0687,13.7754,15.3722,15.8043,15.5410,15.3791
1990.5359,16.9556,0,16.7203,17.0616,17.1002,17.6353,18.1508,17.6997,17.5888
3154.7867,19.4792,0,19.4727,19.7638,19.8929,20.1479,20.6958,20.1017,20.0726
5000.0000,22.3987,0,22.3111,22.1020,22.0074,22.8814,23.3307,22.7506,22.8232
7924.4660,25.8152,0,25.5927,25.5145,25.4835,25.7917,25.9144,25.6484,25.7804
12559.4322,29.9339,0,29.2280,29.1293,29.0830,28.8803,28.5439,28.8189,28.8905
19905.3585,35.3079,0,33.1577,33.1183,33.0926,32.3889,31.8935,32.4127,32.3915
31547.8672,44.2070,0,36.9051,36.8895,36.8760,36.6244,36.5255,36.6449,36.6226
50000.0000,37.4136,0,2.8825,2.8867,2.8867,2.9287,2.9530,2.9273,2.9288
