freq,CFEPhase,fullPhase,expPhase,recPhase,shiftAvgPhase1,shiftAvgPhase9,shiftAvgPhase5,shiftAvgPhase3,shiftAvgPhase8
0.0500,0.0893,0,179.8569,0.0039,0.0019,0.0271,0.0528,26.0157,19.7519
0.0792,0.1420,0,179.7731,0.0062,0.0031,0.0430,0.0837,27.2144,24.7188
0.1256,0.2246,0,179.6404,0.0099,0.0048,0.0681,0.1327,26.1752,27.4001
0.1991,0.3562,0,179.4301,0.0157,0.0077,0.1079,0.2103,26.5885,27.0432
0.3155,0.5643,0,179.0968,0.0248,0.0122,0.1710,0.3333,26.7448,26.7637
0.5000,0.8943,0,178.5687,0.0394,0.0193,0.2711,0.5282,26.8511,26.8356
0.7924,1.4165,0,177.7320,0.0624,0.0306,0.4296,0.8370,26.8956,26.8970
1.2559,2.2421,0,176.4075,0.0987,0.0484,0.6808,1.3262,26.9239,26.9336
1.9905,3.5422,0,174.3139,0.1563,0.0768,1.0787,2.1000,26.9405,26.9513
3.1548,5.5705,0,171.0185,0.2472,0.1217,1.7087,3.3212,26.9417,26.9616
5.0000,8.6579,0,165.8831,0.3907,0.1929,2.7042,5.2355,26.9348,26.9642
7.9245,13.1009,0,158.0693,0.6165,0.3056,4.2705,8.1883,26.9229,26.9613
12.5594,18.7219,0,146.7866,0.9704,0.4844,6.7077,12.5663,26.9000,26.9528
19.9054,24.1889,0,132.0107,1.5221,0.7676,10.3992,18.4847,26.8668,26.9381
31.5479,27.3857,0,115.1104,2.3732,1.2162,15.6416,25.0130,26.8209,26.9155
50.0000,27.7711,0,97.8697,3.6671,1.9262,22.0742,29.6090,26.7566,26.8822
79.2447,27.1388,0,80.8858,5.5882,3.0471,27.8240,29.8528,26.6688,26.8340
125.5943,26.9491,0,64.0742,8.3191,4.8068,29.9778,27.6583,26.5498,26.7644
199.0536,27.0169,0,48.3853,11.9699,7.5305,28.0340,27.8959,26.3885,26.6640
315.4787,27.0117,0,35.8584,16.4096,11.6028,26.9589,27.7772,26.1710,26.5188
500.0000,27.0003,0,27.8787,20.9652,17.2107,27.1769,27.4953,25.8793,26.3086
792.4466,26.9994,0,24.4358,24.9629,23.6251,26.7290,26.9849,25.4898,26.0035
1255.9432,26.9999,0,24.4614,27.3813,28.4084,26.1414,26.1766,24.9728,25.5604
1990.5359,26.9999,0,25.7504,27.8014,28.4784,25.2961,24.9929,24.2917,24.9172
3154.7867,26.9999,0,25.5973,24.8780,24.5050,24.1413,23.3843,23.4011,23.9898
5000.0000,27.0000,0,24.1847,24.4628,24.6679,22.6433,21.3922,22.2453,22.6680
7924.4660,27.0000,0,22.7179,22.3882,22.2728,20.8049,19.3042,20.7516,20.8683
12559.4322,27.0000,0,20.2040,20.1755,20.2164,18.6642,17.6269,18.7917,18.6797
19905.3585,27.0000,0,16.2507,16.1484,16.1303,15.9648,15.9614,16.0388,15.9580
31547.8672,27.0000,0,9.9656,9.8764,9.8723,10.9326,11.5086,10.9071,10.9327
50000.0000,180.0000,0,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000
