freq,CFEAmp,fullAmp,expAmp,recAmp,shiftAvgAmp1,shiftAvgAmp9,shiftAvgAmp5,shiftAvgAmp3,shiftAvgAmp8
0.0500,0.3333,0,0.2027,0.2806,0.0933,0.1999,0.2432,1.6767,1.4849
0.0792,0.3333,0,0.2027,0.2704,0.0933,0.1999,0.2432,1.3105,1.3565
0.1256,0.3333,0,0.2027,0.2629,0.0933,0.1999,0.2432,1.0704,1.1780
0.1991,0.3333,0,0.2027,0.2553,0.0933,0.1999,0.2432,0.9186,0.9548
0.3155,0.3332,0,0.2027,0.2481,0.0933,0.1999,0.2432,0.7941,0.8050
0.5000,0.3332,0,0.2027,0.2405,0.0933,0.1999,0.2431,0.6887,0.6984
0.7924,0.3331,0,0.2027,0.2321,0.0933,0.1999,0.2431,0.5979,0.6062
1.2559,0.3327,0,0.2027,0.2245,0.0933,0.1999,0.2431,0.5197,0.5264
1.9905,0.3319,0,0.2027,0.2163,0.0933,0.1999,0.2431,0.4516,0.4576
3.1548,0.3298,0,0.2027,0.2067,0.0933,0.1999,0.2430,0.3929,0.3981
5.0000,0.3247,0,0.2027,0.1983,0.0933,0.1998,0.2427,0.3419,0.3464
7.9245,0.3133,0,0.2025,0.1890,0.0933,0.1997,0.2421,0.2977,0.3016
12.5594,0.2905,0,0.2022,0.1783,0.0933,0.1993,0.2404,0.2592,0.2626
19.9054,0.2547,0,0.2014,0.1690,0.0933,0.1984,0.2364,0.2257,0.2287
31.5479,0.2138,0,0.1993,0.1584,0.0933,0.1961,0.2267,0.1965,0.1991
50.0000,0.1795,0,0.1945,0.1467,0.0932,0.1906,0.2050,0.1712,0.1734
79.2447,0.1548,0,0.1839,0.1367,0.0932,0.1777,0.1653,0.1491,0.1510
125.5943,0.1352,0,0.1644,0.1246,0.0931,0.1514,0.1269,0.1299,0.1316
199.0536,0.1178,0,0.1365,0.1130,0.0929,0.1146,0.1172,0.1131,0.1146
315.4787,0.1025,0,0.1081,0.1030,0.0923,0.0993,0.1004,0.0986,0.0998
500.0000,0.0893,0,0.0867,0.0896,0.0910,0.0883,0.0873,0.0859,0.0869
792.4466,0.0778,0,0.0738,0.0805,0.0876,0.0764,0.0756,0.0749,0.0757
1255.9432,0.0677,0,0.0660,0.0698,0.0798,0.0663,0.0654,0.0653,0.0660
1990.5359,0.0590,0,0.0595,0.0608,0.0639,0.0576,0.0567,0.0571,0.0576
3154.7867,0.0513,0,0.0517,0.0507,0.0462,0.0501,0.0492,0.0500,0.0502
5000.0000,0.0446,0,0.0447,0.0450,0.0481,0.0438,0.0430,0.0439,0.0439
7924.4660,0.0387,0,0.0390,0.0388,0.0385,0.0386,0.0381,0.0388,0.0386
12559.4322,0.0334,0,0.0342,0.0340,0.0353,0.0343,0.0344,0.0345,0.0343
19905.3585,0.0283,0,0.0301,0.0300,0.0303,0.0308,0.0313,0.0308,0.0308
31547.8672,0.0226,0,0.0271,0.0269,0.0272,0.0274,0.0277,0.0274,0.0275
50000.0000,0.0001,0,0.0019,0.0019,0.0019,0.0019,0.0018,0.0019,0.0019
