freq,CFEPhase,fullPhase,expPhase,recPhase,shiftAvgPhase1,shiftAvgPhase9,shiftAvgPhase5,shiftAvgPhase3,shiftAvgPhase8
0.0500,0.1867,0,179.9510,0.0065,0.0045,0.0641,0.1262,46.7670,39.3576
0.0792,0.2947,0,179.9224,0.0103,0.0071,0.1015,0.2000,45.7911,44.2878
0.1256,0.4706,0,179.8770,0.0164,0.0113,0.1609,0.3169,44.8393,46.1865
0.1991,0.7424,0,179.8051,0.0260,0.0179,0.2550,0.5023,45.0052,45.3599
0.3155,1.1782,0,179.6911,0.0412,0.0284,0.4042,0.7960,44.9975,45.0174
0.5000,1.8668,0,179.5105,0.0653,0.0450,0.6406,1.2613,44.9708,44.9891
0.7924,2.9547,0,179.2242,0.1035,0.0713,1.0152,1.9983,44.9391,44.9743
1.2559,4.6711,0,178.7705,0.1640,0.1130,1.6086,3.1641,44.9081,44.9638
1.9905,7.3616,0,178.0515,0.2599,0.1791,2.5478,5.0026,44.8761,44.9448
3.1548,11.4990,0,176.9124,0.4118,0.2839,4.0316,7.8809,44.8383,44.9269
5.0000,17.6023,0,175.1090,0.6525,0.4500,6.3642,12.3067,44.7897,44.9039
7.9245,25.8070,0,172.2582,1.0336,0.7131,9.9876,18.8283,44.7340,44.8757
12.5594,34.9981,0,167.7688,1.6364,1.1301,15.4550,27.5786,44.6628,44.8399
19.9054,42.5537,0,160.7657,2.5878,1.7905,23.1749,37.3718,44.5728,44.7936
31.5479,46.2162,0,150.0839,4.0823,2.8355,32.6754,45.4345,44.4604,44.7331
50.0000,46.2933,0,134.5804,6.4070,4.4848,41.8108,49.1180,44.3177,44.6534
79.2447,45.2701,0,114.1269,9.9500,7.0720,47.5514,48.1298,44.1365,44.5473
125.5943,44.9254,0,90.8793,15.1253,11.0693,48.2905,46.0263,43.9066,44.4044
199.0536,44.9911,0,69.0204,22.0940,17.0246,45.7873,46.2525,43.6135,44.2101
315.4787,45.0032,0,52.5175,30.2555,25.2002,44.9951,45.8195,43.2388,43.9431
500.0000,45.0005,0,43.1374,37.9648,34.7206,44.8327,45.1738,42.7592,43.5723
792.4466,45.0000,0,40.3146,43.4653,42.9929,44.0860,44.1795,42.1427,43.0527
1255.9432,44.9999,0,41.6173,45.9775,46.9770,43.0866,42.7543,41.3476,42.3190
1990.5359,45.0000,0,43.2568,44.9725,45.4261,41.7285,40.8168,40.3193,41.2780
3154.7867,45.0000,0,42.4471,41.4933,41.1949,39.9452,38.3390,38.9834,39.8049
5000.0000,45.0000,0,40.3953,40.7961,40.9513,37.6856,35.4517,37.2362,37.7438
7924.4660,45.0000,0,37.8562,37.6371,37.5844,34.9246,32.6331,34.9232,34.9971
12559.4322,45.0000,0,33.6842,33.7077,33.7376,31.5887,30.3260,31.7567,31.6002
19905.3585,45.0000,0,27.0841,27.0269,27.0234,26.8954,27.0815,26.9657,26.8884
31547.8672,44.9999,0,16.6077,16.5574,16.5568,17.9024,18.6052,17.8742,17.9027
50000.0000,180.0000,0,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000
