freq,CFEPhase,fullPhase,expPhase,recPhase,shiftAvgPhase1,shiftAvgPhase9,shiftAvgPhase5,shiftAvgPhase3,shiftAvgPhase8
0.0500,-0.0900,0,-0.0126,-3.3278,-0.0010,-0.0143,-0.0276,-17.2704,-11.3030
0.0792,-0.1423,0,-0.0200,-4.3484,-0.0016,-0.0226,-0.0437,-25.6977,-17.4220
0.1256,-0.2267,0,-0.0317,-4.5954,-0.0026,-0.0359,-0.0693,-22.9375,-23.6414
0.1991,-0.3586,0,-0.0503,-5.1164,-0.0041,-0.0569,-0.1098,-25.1485,-26.3482
0.3155,-0.5677,0,-0.0797,-5.6874,-0.0066,-0.0901,-0.1740,-25.5352,-25.8164
0.5000,-0.9004,0,-0.1263,-6.0739,-0.0104,-0.1428,-0.2757,-26.2320,-26.1336
0.7924,-1.4263,0,-0.2001,-6.7357,-0.0165,-0.2264,-0.4370,-26.4791,-26.4506
1.2559,-2.2573,0,-0.3171,-7.4321,-0.0261,-0.3588,-0.6926,-26.6480,-26.6447
1.9905,-3.5665,0,-0.5026,-7.8057,-0.0413,-0.5687,-1.0976,-26.7984,-26.7768
3.1548,-5.6077,0,-0.7965,-8.7633,-0.0655,-0.9012,-1.7391,-26.8480,-26.8563
5.0000,-8.7151,0,-1.2620,-9.6829,-0.1038,-1.4281,-2.7546,-26.9070,-26.9068
7.9245,-13.1820,0,-1.9987,-10.1151,-0.1646,-2.2623,-4.3587,-26.9348,-26.9373
12.5594,-18.8262,0,-3.1624,-11.4986,-0.2608,-3.5817,-6.8801,-26.9464,-26.9540
19.9054,-24.2991,0,-4.9909,-12.7432,-0.4134,-5.6613,-10.7927,-26.9519,-26.9609
31.5479,-27.4749,0,-7.8276,-13.3097,-0.6552,-8.9112,-16.6581,-26.9457,-26.9595
50.0000,-27.8229,0,-12.0931,-15.2723,-1.0383,-13.8776,-24.5967,-26.9270,-26.9496
79.2447,-27.1559,0,-18.0548,-16.8379,-1.6453,-21.0048,-31.8232,-26.8953,-26.9291
125.5943,-26.9450,0,-25.1586,-17.5028,-2.6065,-29.2887,-29.0854,-26.8426,-26.8937
199.0536,-27.0087,0,-31.2867,-20.1148,-4.1262,-31.7883,-26.5970,-26.7594,-26.8362
315.4787,-27.0079,0,-33.6874,-21.4875,-6.5204,-25.6416,-27.5782,-26.6318,-26.7448
500.0000,-26.9994,0,-31.7288,-22.2272,-10.2573,-27.4948,-27.4479,-26.4374,-26.6011
792.4466,-26.9991,0,-27.8477,-24.7512,-15.9439,-26.9252,-27.2591,-26.1446,-26.3764
1255.9432,-26.9996,0,-25.1919,-24.2961,-23.9545,-26.5781,-26.8567,-25.7104,-26.0267
1990.5359,-26.9997,0,-25.0505,-28.3950,-32.0809,-25.9492,-26.1123,-25.0754,-25.4853
3154.7867,-26.9998,0,-25.6961,-26.7383,-26.7710,-24.9484,-24.8702,-24.1652,-24.6519
5000.0000,-26.9999,0,-24.1161,-23.3004,-22.8955,-23.4581,-22.9799,-22.8926,-23.3837
7924.4660,-26.9999,0,-22.7961,-21.5736,-19.6058,-21.3914,-20.4156,-21.1592,-21.4675
12559.4322,-26.9999,0,-20.1960,-19.2929,-18.7691,-18.7500,-17.6042,-18.8463,-18.8027
19905.3585,-27.0000,0,-16.2641,-15.7375,-14.5195,-15.5984,-15.1622,-15.7591,-15.5875
31547.8672,-27.0000,0,-9.9759,-8.9660,-8.5965,-10.9471,-11.6535,-10.9138,-10.9440
50000.0000,-180.0000,0,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000
