0.5436	0.211	2	0.0002
3.25,-0.2,-0.128678,-0.071322,-0.164846
3.2502,-0.2,-0.128778,-0.071222,-0.165545
3.2504,-0.2,-0.128878,-0.0711224,-0.166242
3.2506,-0.2,-0.128977,-0.0710231,-0.166939
3.2508,-0.2,-0.129076,-0.0709242,-0.167635
3.251,-0.2,-0.129174,-0.0708255,-0.16833
3.2512,-0.2,-0.129273,-0.0707273,-0.169024
3.2514,-0.2,-0.129371,-0.0706293,-0.169717
3.2516,-0.2,-0.129468,-0.0705317,-0.170409
3.2518,-0.2,-0.129566,-0.0704344,-0.1711
3.252,-0.2,-0.129663,-0.0703375,-0.17179
3.2522,-0.2,-0.129759,-0.0702408,-0.172479
3.2524,-0.2,-0.129855,-0.0701445,-0.173167
3.2526,-0.2,-0.129951,-0.0700486,-0.173854
3.2528,-0.2,-0.130047,-0.0699529,-0.17454
3.253,-0.2,-0.130142,-0.0698575,-0.175226
3.2532,-0.2,-0.130237,-0.0697625,-0.17591
3.2534,-0.2,-0.130332,-0.0696678,-0.176593
3.2536,-0.2,-0.130427,-0.0695734,-0.177276
3.2538,-0.2,-0.130521,-0.0694793,-0.177957
3.254,-0.2,-0.130614,-0.0693856,-0.178637
3.2542,-0.2,-0.130708,-0.0692921,-0.179317
3.2544,-0.2,-0.130801,-0.0691989,-0.179996
3.2546,-0.2,-0.130894,-0.0691061,-0.180674
3.2548,-0.2,-0.130986,-0.0690135,-0.18135
3.255,-0.2,-0.131079,-0.0689213,-0.182026
3.2552,-0.2,-0.131171,-0.0688294,-0.182701
3.2554,-0.2,-0.131262,-0.0687377,-0.183375
3.2556,-0.2,-0.131354,-0.0686464,-0.184049
3.2558,-0.2,-0.131445,-0.0685553,-0.184721
3.256,-0.2,-0.131535,-0.0684646,-0.185392
3.2562,-0.2,-0.131626,-0.0683741,-0.186063
3.2564,-0.2,-0.131716,-0.068284,-0.186732
3.2566,-0.2,-0.131806,-0.0681941,-0.187401
3.2568,-0.2,-0.131895,-0.0681045,-0.188069
3.257,-0.2,-0.131985,-0.0680152,-0.188736
3.2572,-0.2,-0.132074,-0.0679262,-0.189402
