Time,R,U,Theta,Phi,ThetaDot,PhiDot,Total Angle,Error,Digital Control
0.0005,0.2,0,0,0,0,0,0,0,0
0.001,0.2,0.271892,6.10289e-006,-6.10282e-006,0.0119094,-0.0119155,6.7973e-011,0.2,0
0.0015,0.2,0.276054,1.79647e-005,-1.79667e-005,0.0237099,-0.0237274,-2.02538e-009,0.2,0.280888
0.002,0.2,0.278864,3.56456e-005,-3.56542e-005,0.0353428,-0.035376,-8.55083e-009,0.2,0.280888
0.0025,0.2,0.281065,5.90499e-005,-5.90712e-005,0.0467833,-0.0468358,-2.12781e-008,0.2,0.280888
0.003,0.2,0.282908,8.8075e-005,-8.81165e-005,0.0580185,-0.0580927,-4.15266e-008,0.2,0.280888
0.0035,0.2,0.284511,0.000122614,-0.000122684,0.0690407,-0.0691382,-7.01588e-008,0.2,0.280888
0.004,0.2,0.285941,0.000162559,-0.000162667,0.0798456,-0.0799672,-1.07585e-007,0.2,0.280888
0.0045,0.2,0.287238,0.0002078,-0.000207954,0.0904306,-0.0905761,-1.53771e-007,0.2,0.280888
0.005,0.2,0.28843,0.000258225,-0.000258434,0.100795,-0.100963,-2.08245e-007,0.2,0.280888
0.0055,0.2,0.289536,0.000313726,-0.000313996,0.110938,-0.111127,-2.70103e-007,0.2,0.280888
0.006,0.2,0.29057,0.000374189,-0.000374528,0.12086,-0.121067,-3.38021e-007,0.2,0.280888
0.0065,0.2,0.291542,0.000439507,-0.000439918,0.130562,-0.130783,-4.10258e-007,0.2,0.280888
0.007,0.2,0.292462,0.00050957,-0.000510054,0.140045,-0.140276,-4.84671e-007,0.2,0.298467
0.0075,0.2,0.293336,0.000584268,-0.000584827,0.149311,-0.149547,-5.58714e-007,0.2,0.298467
0.008,0.2,0.29417,0.000663494,-0.000664124,0.158362,-0.158597,-6.29457e-007,0.200001,0.298467
0.0085,0.2,0.294967,0.000747142,-0.000747836,0.1672,-0.167427,-6.93585e-007,0.200001,0.298467
0.009,0.2,0.295732,0.000835106,-0.000835854,0.175827,-0.176038,-7.47415e-007,0.200001,0.298467
0.0095,0.2,0.296468,0.000927282,-0.000928069,0.184245,-0.184433,-7.86895e-007,0.200001,0.298467
0.01,0.2,0.297177,0.00102357,-0.00102437,0.192456,-0.192612,-8.07621e-007,0.200001,0.298467
0.0105,0.2,0.297862,0.00112386,-0.00112466,0.200464,-0.200577,-8.04842e-007,0.200001,0.298467
0.011,0.2,0.298525,0.00122805,-0.00122882,0.208271,-0.208331,-7.73466e-007,0.200001,0.298467
0.0115,0.2,0.299167,0.00133605,-0.00133676,0.215879,-0.215876,-7.08071e-007,0.200001,0.298467
0.012,0.2,0.29979,0.00144776,-0.00144837,0.22329,-0.223212,-6.02914e-007,0.200001,0.298467
0.0125,0.2,0.300395,0.00156308,-0.00156354,0.230509,-0.230343,-4.51936e-007,0.200001,0.316513
0.013,0.2,0.300984,0.00168192,-0.00168217,0.237536,-0.237271,-2.48775e-007,0.2,0.316513
0.0135,0.2,0.301557,0.00180418,-0.00180417,0.244376,-0.243997,1.32334e-008,0.2,0.316513
0.014,0.2,0.302116,0.00192977,-0.00192943,0.25103,-0.250523,3.4104e-007,0.2,0.316513
0.0145,0.2,0.302662,0.00205859,-0.00205785,0.257502,-0.256853,7.4188e-007,0.2,0.316513
0.015,0.2,0.303195,0.00219057,-0.00218934,0.263794,-0.262988,1.22326e-006,0.199999,0.316513
0.0155,0.2,0.303715,0.0023256,-0.00232381,0.269909,-0.26893,1.79296e-006,0.199999,0.316513
0.016,0.2,0.304224,0.00246361,-0.00246115,0.275849,-0.274681,2.45901e-006,0.199998,0.316513
0.0165,0.2,0.304723,0.0026045,-0.00260127,0.281618,-0.280244,3.2297e-006,0.199998,0.316513
0.017,0.2,0.305211,0.00274819,-0.00274408,0.287219,-0.285621,4.11355e-006,0.199997,0.316513
0.0175,0.2,0.305689,0.0028946,-0.00288948,0.292653,-0.290815,5.11934e-006,0.199996,0.316513
0.018,0.2,0.306158,0.00304365,-0.0030374,0.297923,-0.295827,6.25606e-006,0.199995,0.289876
0.0185,0.2,0.306618,0.00319526,-0.00318772,0.303033,-0.300659,7.53293e-006,0.199994,0.289876
0.019,0.2,0.30707,0.00334934,-0.00334038,0.307985,-0.305315,8.95937e-006,0.199992,0.289876
0.0195,0.2,0.307513,0.00350582,-0.00349528,0.312781,-0.309795,1.0545e-005,0.199991,0.289876
0.02,0.2,0.307949,0.00366463,-0.00365233,0.317424,-0.314103,1.22998e-005,0.199989,0.289876
0.0205,0.2,0.308377,0.00382568,-0.00381145,0.321917,-0.318241,1.42336e-005,0.199988,0.289876
0.021,0.2,0.308797,0.00398891,-0.00397255,0.326263,-0.32221,1.63567e-005,0.199986,0.289876
0.0215,0.2,0.309211,0.00415423,-0.00413556,0.330463,-0.326014,1.86796e-005,0.199984,0.289876
0.022,0.2,0.309618,0.00432159,-0.00430038,0.334521,-0.329654,2.12128e-005,0.199981,0.289876
0.0225,0.2,0.310018,0.00449091,-0.00446695,0.338439,-0.333132,2.3967e-005,0.199979,0.289876
0.023,0.2,0.310413,0.00466212,-0.00463517,0.34222,-0.336451,2.69531e-005,0.199976,0.289876
0.0235,0.2,0.310801,0.00483516,-0.00480497,0.345865,-0.339612,3.01823e-005,0.199973,0.279802
0.024,0.2,0.311183,0.00500995,-0.00497628,0.349378,-0.342619,3.36656e-005,0.19997,0.279802
0.0245,0.2,0.311559,0.00518643,-0.00514902,0.352761,-0.345473,3.74145e-005,0.199966,0.279802
0.025,0.2,0.31193,0.00536455,-0.0053231,0.356016,-0.348176,4.14405e-005,0.199963,0.279802
0.0255,0.2,0.312296,0.00554422,-0.00549847,0.359145,-0.35073,4.57551e-005,0.199959,0.279802
0.026,0.2,0.312656,0.00572541,-0.00567504,0.362152,-0.353138,5.03701e-005,0.199954,0.279802
0.0265,0.2,0.313011,0.00590803,-0.00585274,0.365038,-0.355401,5.52974e-005,0.19995,0.279802
0.027,0.2,0.313361,0.00609204,-0.0060315,0.367806,-0.357522,6.05489e-005,0.199945,0.279802
0.0275,0.2,0.313707,0.00627738,-0.00621125,0.370458,-0.359503,6.61366e-005,0.199939,0.279802
0.028,0.2,0.314047,0.00646399,-0.00639192,0.372996,-0.361345,7.20729e-005,0.199934,0.279802
0.0285,0.2,0.314383,0.00665181,-0.00657344,0.375422,-0.363052,7.83698e-005,0.199928,0.279802
0.029,0.2,0.314715,0.00684079,-0.00675575,0.377739,-0.364624,8.50399e-005,0.199922,0.286726
0.0295,0.2,0.315042,0.00703088,-0.00693878,0.379949,-0.366064,9.20955e-005,0.199915,0.286726
