0.5436	0.211	2	0.0002
3.134	0.2	0.146704	0.0532959	0.401559
3.1342	0.2	0.146753	0.0532467	0.402083
3.1344	0.2	0.146802	0.0531977	0.402607
3.1346	0.2	0.146851	0.0531487	0.403131
3.1348	0.2	0.1469	0.0530999	0.403654
3.135	0.2	0.146949	0.0530511	0.404177
3.1352	0.2	0.146997	0.0530025	0.404699
3.1354	0.2	0.147046	0.052954	0.40522
3.1356	0.2	0.147094	0.0529056	0.405742
3.1358	0.2	0.147143	0.0528574	0.406263
3.136	0.2	0.147191	0.0528092	0.406783
3.1362	0.2	0.147239	0.0527611	0.407303
3.1364	0.2	0.147287	0.0527132	0.407822
3.1366	0.2	0.147335	0.0526653	0.408341
3.1368	0.2	0.147382	0.0526176	0.40886
3.137	0.2	0.14743	0.05257	0.409378
3.1372	0.2	0.147478	0.0525224	0.409896
3.1374	0.2	0.147525	0.052475	0.410413
3.1376	0.2	0.147572	0.0524277	0.41093
3.1378	0.2	0.147619	0.0523805	0.411446
3.138	0.2	0.147667	0.0523334	0.411962
3.1382	0.2	0.147714	0.0522864	0.412477
3.1384	0.2	0.14776	0.0522396	0.412992
3.1386	0.2	0.147807	0.0521928	0.413507
3.1388	0.2	0.147854	0.0521461	0.414021
3.139	0.2	0.1479	0.0520995	0.414535
3.1392	0.2	0.147947	0.0520531	0.415048
3.1394	0.2	0.147993	0.0520067	0.415561
3.1396	0.2	0.14804	0.0519605	0.416073
3.1398	0.2	0.148086	0.0519143	0.416585
3.14	0.2	0.148132	0.0518683	0.417097
3.1402	0.2	0.148178	0.0518223	0.417608
3.1404	0.2	0.148224	0.0517765	0.418119
3.1406	0.2	0.148269	0.0517307	0.418629
3.1408	0.2	0.148315	0.0516851	0.419139
3.141	0.2	0.14836	0.0516395	0.419648
3.1412	0.2	0.148406	0.0515941	0.420157
3.1414	0.2	0.148451	0.0515487	0.420666
3.1416	0.2	0.148497	0.0515035	0.421174
3.1418	0.2	0.148542	0.0514583	0.421682
3.142	0.2	0.148587	0.0514133	0.422189
3.1422	0.2	0.148632	0.0513683	0.422696
3.1424	0.2	0.148677	0.0513235	0.423202
3.1426	0.2	0.148721	0.0512787	0.423708
3.1428	0.2	0.148766	0.0512341	0.424214
3.143	0.2	0.14881	0.0511895	0.424719
3.1432	0.2	0.148855	0.0511451	0.425224
3.1434	0.2	0.148899	0.0511007	0.425728
3.1436	0.2	0.148944	0.0510564	0.426232
3.1438	0.2	0.148988	0.0510123	0.426736
3.144	0.2	0.149032	0.0509682	0.427239
3.1442	0.2	0.149076	0.0509242	0.427742
3.1444	0.2	0.14912	0.0508803	0.428244
3.1446	0.2	0.149163	0.0508365	0.428746
3.1448	0.2	0.149207	0.0507929	0.429247
3.145	0.2	0.149251	0.0507492	0.429748
3.1452	0.2	0.149294	0.0507057	0.430249
3.1454	0.2	0.149338	0.0506623	0.430749
3.1456	0.2	0.149381	0.050619	0.431249
3.1458	0.2	0.149424	0.0505758	0.431749
3.146	0.2	0.149467	0.0505326	0.432248
3.1462	0.2	0.14951	0.0504896	0.432747
3.1464	0.2	0.149553	0.0504467	0.433245
3.1466	0.2	0.149596	0.0504038	0.433743
3.1468	0.2	0.149639	0.050361	0.43424
3.147	0.2	0.149682	0.0503184	0.434737
3.1472	0.2	0.149724	0.0502758	0.435234
3.1474	0.2	0.149767	0.0502333	0.43573
3.1476	0.2	0.149809	0.0501909	0.436226
3.1478	0.2	0.149851	0.0501486	0.436722
3.148	0.2	0.149894	0.0501063	0.437217
3.1482	0.2	0.149936	0.0500642	0.437711
3.1484	0.2	0.149978	0.0500221	0.438206
3.1486	0.2	0.15002	0.0499802	0.4387
3.1488	0.2	0.150062	0.0499383	0.439193
3.149	0.2	0.150103	0.0498965	0.439686
3.1492	0.2	0.150145	0.0498548	0.440179
3.1494	0.2	0.150187	0.0498132	0.440671
3.1496	0.2	0.150228	0.0497717	0.441163
3.1498	0.2	0.15027	0.0497303	0.441655
3.15	0.2	0.150311	0.0496889	0.442146
3.1502	0.2	0.150352	0.0496477	0.442637
3.1504	0.2	0.150394	0.0496065	0.443128
3.1506	0.2	0.150435	0.0495654	0.443618
3.1508	0.2	0.150476	0.0495244	0.444107
3.151	0.2	0.150517	0.0494835	0.444597
3.1512	0.2	0.150557	0.0494427	0.445086
3.1514	0.2	0.150598	0.0494019	0.445574
3.1516	0.2	0.150639	0.0493612	0.446062
3.1518	0.2	0.150679	0.0493207	0.44655
3.152	0.2	0.15072	0.0492802	0.447037
3.1522	0.2	0.15076	0.0492398	0.447525
3.1524	0.2	0.150801	0.0491994	0.448011
3.1526	0.2	0.150841	0.0491592	0.448497
3.1528	0.2	0.150881	0.049119	0.448983
3.153	0.2	0.150921	0.0490789	0.449469
3.1532	0.2	0.150961	0.0490389	0.449954
3.1534	0.2	0.151001	0.048999	0.450439
3.1536	0.2	0.151041	0.0489592	0.450923
3.1538	0.2	0.151081	0.0489194	0.451407
3.154	0.2	0.15112	0.0488798	0.451891
3.1542	0.2	0.15116	0.0488402	0.452374
3.1544	0.2	0.151199	0.0488007	0.452857
3.1546	0.2	0.151239	0.0487612	0.45334
3.1548	0.2	0.151278	0.0487219	0.453822
3.155	0.2	0.151317	0.0486826	0.454304
3.1552	0.2	0.151357	0.0486434	0.454786
3.1554	0.2	0.151396	0.0486043	0.455267
3.1556	0.2	0.151435	0.0485653	0.455748
3.1558	0.2	0.151474	0.0485263	0.456228
3.156	0.2	0.151513	0.0484875	0.456708
3.1562	0.2	0.151551	0.0484487	0.457188
3.1564	0.2	0.15159	0.04841	0.457667
3.1566	0.2	0.151629	0.0483713	0.458146
3.1568	0.2	0.151667	0.0483328	0.458625
3.157	0.2	0.151706	0.0482943	0.459103
3.1572	0.2	0.151744	0.0482559	0.459581
3.1574	0.2	0.151782	0.0482175	0.460058
3.1576	0.2	0.151821	0.0481793	0.460536
3.1578	0.2	0.151859	0.0481411	0.461012
3.158	0.2	0.151897	0.048103	0.461489
3.1582	0.2	0.151935	0.048065	0.461965
3.1584	0.2	0.151973	0.0480271	0.462441
3.1586	0.2	0.152011	0.0479892	0.462916
3.1588	0.2	0.152049	0.0479514	0.463391
3.159	0.2	0.152086	0.0479137	0.463866
3.1592	0.2	0.152124	0.047876	0.464341
3.1594	0.2	0.152162	0.0478384	0.464815
3.1596	0.2	0.152199	0.047801	0.465288
3.1598	0.2	0.152236	0.0477635	0.465762
3.16	0.2	0.152274	0.0477262	0.466235
3.1602	0.2	0.152311	0.0476889	0.466707
3.1604	0.2	0.152348	0.0476517	0.46718
3.1606	0.2	0.152385	0.0476146	0.467652
3.1608	0.2	0.152422	0.0475775	0.468123
3.161	0.2	0.152459	0.0475405	0.468595
3.1612	0.2	0.152496	0.0475036	0.469066
3.1614	0.2	0.152533	0.0474668	0.469536
3.1616	0.2	0.15257	0.04743	0.470006
3.1618	0.2	0.152607	0.0473933	0.470476
3.162	0.2	0.152643	0.0473567	0.470946
3.1622	0.2	0.15268	0.0473202	0.471415
3.1624	0.2	0.152716	0.0472837	0.471884
3.1626	0.2	0.152753	0.0472473	0.472353
3.1628	0.2	0.152789	0.0472109	0.472821
3.163	0.2	0.152825	0.0471747	0.473289
3.1632	0.2	0.152862	0.0471385	0.473756
3.1634	0.2	0.152898	0.0471023	0.474224
3.1636	0.2	0.152934	0.0470663	0.474691
3.1638	0.2	0.15297	0.0470303	0.475157
3.164	0.2	0.153006	0.0469944	0.475623
3.1642	0.2	0.153041	0.0469585	0.476089
3.1644	0.2	0.153077	0.0469228	0.476555
3.1646	0.2	0.153113	0.0468871	0.47702
3.1648	0.2	0.153149	0.0468514	0.477485
3.165	0.2	0.153184	0.0468158	0.47795
3.1652	0.2	0.15322	0.0467803	0.478414
3.1654	0.2	0.153255	0.0467449	0.478878
3.1656	0.2	0.15329	0.0467095	0.479341
3.1658	0.2	0.153326	0.0466742	0.479805
3.166	0.2	0.153361	0.046639	0.480268
3.1662	0.2	0.153396	0.0466038	0.48073
3.1664	0.2	0.153431	0.0465687	0.481193
3.1666	0.2	0.153466	0.0465337	0.481655
3.1668	-0.2	0.127921	-0.327921	0.454788
3.167	-0.2	0.127956	-0.327956	0.440394
3.1672	-0.2	0.114975	-0.314975	0.42939
3.1674	-0.2	0.104963	-0.304963	0.420129
3.1676	-0.2	0.0969331	-0.296933	0.411978
3.1678	-0.2	0.0901205	-0.29012	0.404612
3.168	-0.2	0.0841441	-0.284144	0.397841
3.1682	-0.2	0.0787885	-0.278789	0.391541
3.1684	-0.2	0.0739176	-0.273918	0.385627
3.1686	-0.2	0.0694388	-0.269439	0.380035
3.1688	-0.2	0.0652853	-0.265285	0.37472
3.169	-0.2	0.0614074	-0.261407	0.369643
3.1692	-0.2	0.0577667	-0.257767	0.364777
3.1694	-0.2	0.0543329	-0.254333	0.360097
3.1696	-0.2	0.0510815	-0.251082	0.355585
3.1698	-0.2	0.0479924	-0.247992	0.351223
3.17	-0.2	0.0450489	-0.245049	0.346999
3.1702	-0.2	0.0422368	-0.242237	0.3429
3.1704	-0.2	0.0395442	-0.239544	0.338916
3.1706	-0.2	0.0369607	-0.236961	0.335038
3.1708	-0.2	0.0344774	-0.234477	0.331259
3.171	-0.2	0.0320864	-0.232086	0.327572
3.1712	-0.2	0.0297807	-0.229781	0.32397
3.1714	-0.2	0.0275544	-0.227554	0.320449
3.1716	-0.2	0.025402	-0.225402	0.317002
3.1718	-0.2	0.0233185	-0.223318	0.313627
3.172	-0.2	0.0212996	-0.2213	0.310319
3.1722	-0.2	0.0193414	-0.219341	0.307074
3.1724	-0.2	0.0174403	-0.21744	0.303889
3.1726	-0.2	0.0155929	-0.215593	0.30076
3.1728	-0.2	0.0137964	-0.213796	0.297686
3.173	-0.2	0.0120481	-0.212048	0.294664
3.1732	-0.2	0.0103453	-0.210345	0.291691
3.1734	-0.2	0.00868588	-0.208686	0.288765
3.1736	-0.2	0.00706762	-0.207068	0.285884
3.1738	-0.2	0.0054886	-0.205489	0.283046
3.174	-0.2	0.00394698	-0.203947	0.280249
3.1742	-0.2	0.00244106	-0.202441	0.277493
3.1744	-0.2	0.000969285	-0.200969	0.274774
3.1746	-0.2	-0.000469831	-0.19953	0.272092
3.1748	-0.2	-0.00187766	-0.198122	0.269446
3.175	-0.2	-0.00325548	-0.196745	0.266834
3.1752	-0.2	-0.00460451	-0.195395	0.264255
3.1754	-0.2	-0.00592587	-0.194074	0.261707
3.1756	-0.2	-0.00722064	-0.192779	0.259191
3.1758	-0.2	-0.0084898	-0.19151	0.256704
3.176	-0.2	-0.00973432	-0.190266	0.254246
3.1762	-0.2	-0.0109551	-0.189045	0.251816
3.1764	-0.2	-0.0121529	-0.187847	0.249413
3.1766	-0.2	-0.0133286	-0.186671	0.247036
3.1768	-0.2	-0.014483	-0.185517	0.244685
3.177	-0.2	-0.0156167	-0.184383	0.242358
3.1772	-0.2	-0.0167305	-0.18327	0.240056
3.1774	-0.2	-0.0178249	-0.182175	0.237777
3.1776	-0.2	-0.0189007	-0.181099	0.235521
3.1778	-0.2	-0.0199583	-0.180042	0.233286
3.178	-0.2	-0.0209983	-0.179002	0.231074
3.1782	-0.2	-0.0220214	-0.177979	0.228882
3.1784	-0.2	-0.0230279	-0.176972	0.226711
3.1786	-0.2	-0.0240184	-0.175982	0.224559
3.1788	-0.2	-0.0249934	-0.175007	0.222427
3.179	-0.2	-0.0259532	-0.174047	0.220315
3.1792	-0.2	-0.0268983	-0.173102	0.21822
3.1794	-0.2	-0.0278291	-0.172171	0.216144
3.1796	-0.2	-0.028746	-0.171254	0.214085
3.1798	-0.2	-0.0296494	-0.170351	0.212044
3.18	-0.2	-0.0305396	-0.16946	0.21002
3.1802	-0.2	-0.031417	-0.168583	0.208012
3.1804	-0.2	-0.0322819	-0.167718	0.20602
3.1806	-0.2	-0.0331347	-0.166865	0.204044
3.1808	-0.2	-0.0339755	-0.166024	0.202084
3.181	-0.2	-0.0348048	-0.165195	0.200138
3.1812	-0.2	-0.0356229	-0.164377	0.198208
3.1814	-0.2	-0.0364299	-0.16357	0.196292
3.1816	-0.2	-0.0372261	-0.162774	0.19439
3.1818	-0.2	-0.0380119	-0.161988	0.192503
3.182	-0.2	-0.0387873	-0.161213	0.190629
3.1822	-0.2	-0.0395528	-0.160447	0.188768
3.1824	-0.2	-0.0403085	-0.159691	0.186921
3.1826	-0.2	-0.0410547	-0.158945	0.185086
3.1828	-0.2	-0.0417915	-0.158209	0.183264
3.183	-0.2	-0.0425191	-0.157481	0.181455
3.1832	-0.2	-0.0432378	-0.156762	0.179658
3.1834	-0.2	-0.0439477	-0.156052	0.177873
3.1836	-0.2	-0.0446491	-0.155351	0.176099
3.1838	-0.2	-0.0453421	-0.154658	0.174338
3.184	-0.2	-0.0460269	-0.153973	0.172587
3.1842	-0.2	-0.0467037	-0.153296	0.170848
3.1844	-0.2	-0.0473726	-0.152627	0.16912
3.1846	-0.2	-0.0480337	-0.151966	0.167403
3.1848	-0.2	-0.0486874	-0.151313	0.165696
3.185	-0.2	-0.0493336	-0.150666	0.164
3.1852	-0.2	-0.0499725	-0.150027	0.162314
3.1854	-0.2	-0.0506043	-0.149396	0.160638
3.1856	-0.2	-0.0512292	-0.148771	0.158973
3.1858	-0.2	-0.0518472	-0.148153	0.157317
3.186	-0.2	-0.0524585	-0.147542	0.15567
3.1862	-0.2	-0.0530632	-0.146937	0.154034
3.1864	-0.2	-0.0536614	-0.146339	0.152406
3.1866	-0.2	-0.0542533	-0.145747	0.150788
3.1868	-0.2	-0.0548389	-0.145161	0.149179
3.187	-0.2	-0.0554184	-0.144582	0.147579
3.1872	-0.2	-0.055992	-0.144008	0.145988
3.1874	-0.2	-0.0565596	-0.14344	0.144405
3.1876	-0.2	-0.0571214	-0.142879	0.142831
3.1878	-0.2	-0.0576775	-0.142322	0.141265
3.188	-0.2	-0.0582281	-0.141772	0.139708
3.1882	-0.2	-0.0587731	-0.141227	0.138159
3.1884	-0.2	-0.0593127	-0.140687	0.136618
3.1886	-0.2	-0.059847	-0.140153	0.135085
3.1888	-0.2	-0.0603761	-0.139624	0.13356
3.189	-0.2	-0.0609001	-0.1391	0.132043
3.1892	-0.2	-0.061419	-0.138581	0.130533
3.1894	-0.2	-0.0619329	-0.138067	0.129031
3.1896	-0.2	-0.062442	-0.137558	0.127537
3.1898	-0.2	-0.0629462	-0.137054	0.12605
3.19	-0.2	-0.0634457	-0.136554	0.12457
3.1902	-0.2	-0.0639406	-0.136059	0.123097
3.1904	-0.2	-0.0644309	-0.135569	0.121631
3.1906	-0.2	-0.0649166	-0.135083	0.120173
3.1908	-0.2	-0.0653979	-0.134602	0.118721
3.191	-0.2	-0.0658749	-0.134125	0.117276
3.1912	-0.2	-0.0663476	-0.133652	0.115838
3.1914	-0.2	-0.066816	-0.133184	0.114406
3.1916	-0.2	-0.0672802	-0.13272	0.112981
3.1918	-0.2	-0.0677404	-0.13226	0.111563
3.192	-0.2	-0.0681964	-0.131804	0.110151
3.1922	-0.2	-0.0686485	-0.131351	0.108745
3.1924	-0.2	-0.0690967	-0.130903	0.107346
3.1926	-0.2	-0.069541	-0.130459	0.105953
3.1928	-0.2	-0.0699815	-0.130019	0.104566
3.193	-0.2	-0.0704182	-0.129582	0.103185
3.1932	-0.2	-0.0708512	-0.129149	0.10181
3.1934	-0.2	-0.0712806	-0.128719	0.100441
3.1936	-0.2	-0.0717064	-0.128294	0.0990777
3.1938	-0.2	-0.0721286	-0.127871	0.0977203
3.194	-0.2	-0.0725473	-0.127453	0.0963686
3.1942	-0.2	-0.0729626	-0.127037	0.0950225
3.1944	-0.2	-0.0733744	-0.126626	0.0936821
3.1946	-0.2	-0.0737829	-0.126217	0.0923472
3.1948	-0.2	-0.0741881	-0.125812	0.0910178
3.195	-0.2	-0.07459	-0.12541	0.0896938
3.1952	-0.2	-0.0749887	-0.125011	0.0883752
3.1954	-0.2	-0.0753842	-0.124616	0.0870619
3.1956	-0.2	-0.0757766	-0.124223	0.0857538
3.1958	-0.2	-0.0761659	-0.123834	0.0844509
3.196	-0.2	-0.0765521	-0.123448	0.0831532
3.1962	-0.2	-0.0769354	-0.123065	0.0818605
3.1964	-0.2	-0.0773156	-0.122684	0.0805729
3.1966	-0.2	-0.0776929	-0.122307	0.0792903
3.1968	-0.2	-0.0780673	-0.121933	0.0780126
3.197	-0.2	-0.0784388	-0.121561	0.0767398
3.1972	-0.2	-0.0788076	-0.121192	0.0754718
3.1974	-0.2	-0.0791735	-0.120827	0.0742086
3.1976	-0.2	-0.0795367	-0.120463	0.0729502
3.1978	-0.2	-0.0798971	-0.120103	0.0716965
3.198	-0.2	-0.0802549	-0.119745	0.0704474
3.1982	-0.2	-0.08061	-0.11939	0.0692029
3.1984	-0.2	-0.0809625	-0.119038	0.0679629
3.1986	-0.2	-0.0813124	-0.118688	0.0667275
3.1988	-0.2	-0.0816597	-0.11834	0.0654966
3.199	-0.2	-0.0820046	-0.117995	0.0642701
3.1992	-0.2	-0.0823469	-0.117653	0.0630479
3.1994	-0.2	-0.0826867	-0.117313	0.0618302
3.1996	-0.2	-0.0830242	-0.116976	0.0606167
3.1998	-0.2	-0.0833592	-0.116641	0.0594075
3.2	-0.2	-0.0836918	-0.116308	0.0582025
3.2002	-0.2	-0.0840221	-0.115978	0.0570018
3.2004	-0.2	-0.08435	-0.11565	0.0558051
3.2006	-0.2	-0.0846757	-0.115324	0.0546126
3.2008	-0.2	-0.0849991	-0.115001	0.0534242
3.201	-0.2	-0.0853202	-0.11468	0.0522398
3.2012	-0.2	-0.0856392	-0.114361	0.0510594
3.2014	-0.2	-0.0859559	-0.114044	0.049883
3.2016	-0.2	-0.0862705	-0.11373	0.0487106
3.2018	-0.2	-0.0865829	-0.113417	0.047542
3.202	-0.2	-0.0868932	-0.113107	0.0463773
3.2022	-0.2	-0.0872014	-0.112799	0.0452164
3.2024	-0.2	-0.0875075	-0.112492	0.0440593
3.2026	-0.2	-0.0878116	-0.112188	0.042906
3.2028	-0.2	-0.0881136	-0.111886	0.0417565
3.203	-0.2	-0.0884137	-0.111586	0.0406106
3.2032	-0.2	-0.0887118	-0.111288	0.0394684
3.2034	-0.2	-0.0890079	-0.110992	0.0383299
3.2036	-0.2	-0.089302	-0.110698	0.037195
3.2038	-0.2	-0.0895943	-0.110406	0.0360636
3.204	-0.2	-0.0898846	-0.110115	0.0349359
3.2042	-0.2	-0.0901731	-0.109827	0.0338116
3.2044	-0.2	-0.0904597	-0.10954	0.0326908
3.2046	-0.2	-0.0907444	-0.109256	0.0315735
3.2048	-0.2	-0.0910273	-0.108973	0.0304597
3.205	-0.2	-0.0913085	-0.108692	0.0293492
3.2052	-0.2	-0.0915878	-0.108412	0.0282422
3.2054	-0.2	-0.0918654	-0.108135	0.0271385
3.2056	-0.2	-0.0921413	-0.107859	0.0260381
3.2058	-0.2	-0.0924154	-0.107585	0.024941
3.206	-0.2	-0.0926878	-0.107312	0.0238472
3.2062	-0.2	-0.0929585	-0.107041	0.0227567
3.2064	-0.2	-0.0932275	-0.106772	0.0216694
3.2066	-0.2	-0.0934949	-0.106505	0.0205853
3.2068	-0.2	-0.0937606	-0.106239	0.0195044
3.207	-0.2	-0.0940248	-0.105975	0.0184266
3.2072	-0.2	-0.0942873	-0.105713	0.017352
3.2074	-0.2	-0.0945482	-0.105452	0.0162805
