Time,R,U,Theta,Phi,ThetaDot,PhiDot,Total Angle,Error,Digital Control
0.025,0.2,0.520623,0.00935524,-0.00928111,0.607994,-0.594061,7.4124e-005,0.199933,0.512643
0.0255,0.2,0.520753,0.00966178,-0.00958,0.612719,-0.597777,8.17776e-005,0.199926,0.512591
0.026,0.2,0.52088,0.00997057,-0.00988061,0.617229,-0.601236,8.99578e-005,0.199918,0.512591
0.0265,0.2,0.521004,0.0102815,-0.0101828,0.621527,-0.604442,9.86852e-005,0.19991,0.512591
0.027,0.2,0.521124,0.0105945,-0.0104865,0.625618,-0.6074,0.00010798,0.199901,0.512528
0.0275,0.2,0.521242,0.0109094,-0.0107916,0.629506,-0.610114,0.000117863,0.199892,0.512528
0.028,0.2,0.521356,0.0112262,-0.0110979,0.633195,-0.612587,0.000128356,0.199882,0.512528
0.0285,0.2,0.521467,0.0115448,-0.0114053,0.63669,-0.614824,0.000139478,0.199872,0.512452
0.029,0.2,0.521575,0.011865,-0.0117137,0.639995,-0.616829,0.000151252,0.199861,0.512452
0.0295,0.2,0.521679,0.0121867,-0.012023,0.643114,-0.618605,0.000163697,0.199849,0.512452
0.03,0.2,0.52178,0.0125099,-0.0123331,0.646051,-0.620157,0.000176837,0.199836,0.512362
0.0305,0.2,0.521878,0.0128345,-0.0126438,0.64881,-0.621487,0.000190691,0.199823,0.512362
0.031,0.2,0.521973,0.0131604,-0.0129551,0.651395,-0.622601,0.000205283,0.199809,0.512362
0.0315,0.2,0.522065,0.0134875,-0.0132669,0.65381,-0.623501,0.000220632,0.199795,0.512256
0.032,0.2,0.522153,0.0138157,-0.013579,0.656059,-0.624191,0.000236761,0.199779,0.512256
0.0325,0.2,0.522238,0.014145,-0.0138913,0.658145,-0.624675,0.000253692,0.199763,0.512256
0.033,0.2,0.522319,0.0144752,-0.0142038,0.660073,-0.624957,0.000271446,0.199746,0.512132
0.0335,0.2,0.522397,0.0148063,-0.0145163,0.661845,-0.62504,0.000290046,0.199729,0.512132
0.034,0.2,0.522472,0.0151383,-0.0148288,0.663466,-0.624928,0.000309513,0.19971,0.512132
0.0345,0.2,0.522544,0.0154709,-0.0151411,0.664939,-0.624623,0.000329868,0.19969,0.511989
0.035,0.2,0.522611,0.0158043,-0.0154531,0.666267,-0.62413,0.000351135,0.19967,0.511989
0.0355,0.2,0.522676,0.0161382,-0.0157648,0.667455,-0.623453,0.000373335,0.199649,0.511989
0.036,0.2,0.522737,0.0164726,-0.0160761,0.668505,-0.622593,0.00039649,0.199627,0.511825
0.0365,0.2,0.522794,0.0168075,-0.0163869,0.66942,-0.621555,0.000420621,0.199604,0.511825
0.037,0.2,0.522848,0.0171428,-0.0166971,0.670205,-0.620343,0.000445752,0.199579,0.511825
0.0375,0.2,0.522898,0.0174785,-0.0170066,0.670862,-0.618958,0.000471904,0.199554,0.511639
0.038,0.2,0.522945,0.0178144,-0.0173153,0.671395,-0.617405,0.000499098,0.199528,0.511639
0.0385,0.2,0.522988,0.0181505,-0.0176231,0.671806,-0.615687,0.000527357,0.199501,0.511639
0.039,0.2,0.523027,0.0184867,-0.01793,0.672099,-0.613807,0.000556703,0.199473,0.51143
0.0395,0.2,0.523062,0.0188231,-0.0182359,0.672276,-0.611767,0.000587158,0.199443,0.51143
0.04,0.2,0.523094,0.0191594,-0.0185407,0.672342,-0.609572,0.000618743,0.199413,0.51143
0.0405,0.2,0.523122,0.0194958,-0.0188443,0.672298,-0.607224,0.00065148,0.199381,0.511196
0.041,0.2,0.523146,0.019832,-0.0191467,0.672148,-0.604726,0.000685391,0.199349,0.511196
0.0415,0.2,0.523166,0.0201682,-0.0194477,0.671894,-0.602081,0.000720497,0.199315,0.511196
0.042,0.2,0.523182,0.0205042,-0.0197473,0.67154,-0.599293,0.000756821,0.19928,0.510935
0.0425,0.2,0.523194,0.0208399,-0.0200455,0.671088,-0.596363,0.000794383,0.199243,0.510935
0.043,0.2,0.523202,0.0211754,-0.0203422,0.670541,-0.593296,0.000833205,0.199206,0.510935
0.0435,0.2,0.523206,0.0215105,-0.0206372,0.669901,-0.590093,0.000873308,0.199167,0.510647
0.044,0.2,0.523206,0.0218453,-0.0209306,0.669171,-0.586758,0.000914714,0.199127,0.510647
0.0445,0.2,0.523202,0.0221797,-0.0212222,0.668355,-0.583293,0.000957443,0.199085,0.510647
0.045,0.2,0.523194,0.0225136,-0.0215121,0.667453,-0.579702,0.00100152,0.199043,0.510328
0.0455,0.2,0.523181,0.022847,-0.0218001,0.66647,-0.575987,0.00104696,0.198998,0.510328
0.046,0.2,0.523164,0.0231799,-0.0220861,0.665407,-0.57215,0.00109378,0.198953,0.510328
0.0465,0.2,0.523143,0.0235123,-0.0223702,0.664266,-0.568195,0.00114202,0.198906,0.509979
0.047,0.2,0.523118,0.023844,-0.0226523,0.663051,-0.564123,0.00119168,0.198858,0.509979
0.0475,0.2,0.523088,0.0241751,-0.0229323,0.661764,-0.559939,0.00124279,0.198808,0.509979
0.048,0.2,0.523054,0.0245055,-0.0232101,0.660406,-0.555643,0.00129537,0.198757,0.509597
0.0485,0.2,0.523015,0.0248351,-0.0234857,0.658981,-0.551239,0.00134943,0.198705,0.509597
0.049,0.2,0.522972,0.0251641,-0.0237591,0.65749,-0.54673,0.00140501,0.198651,0.509597
0.0495,0.2,0.522924,0.0254922,-0.0240301,0.655935,-0.542117,0.00146211,0.198595,0.509181
0.05,0.2,0.522871,0.0258196,-0.0242988,0.65432,-0.537404,0.00152077,0.198538,0.509181
0.0505,0.2,0.522814,0.0261461,-0.0245651,0.652645,-0.532593,0.00158099,0.198479,0.509181
0.051,0.2,0.522753,0.0264718,-0.024829,0.650913,-0.527685,0.0016428,0.198419,0.50873
0.0515,0.2,0.522686,0.0267965,-0.0250903,0.649127,-0.522684,0.00170621,0.198357,0.50873
0.052,0.2,0.522615,0.0271204,-0.0253491,0.647287,-0.517592,0.00177125,0.198294,0.50873
0.0525,0.2,0.522539,0.0274432,-0.0256053,0.645397,-0.512411,0.00183794,0.198229,0.508243
