freq,CFEPhase,fullPhase,expPhase,recPhase,shiftAvgPhase1,shiftAvgPhase9,shiftAvgPhase5,shiftAvgPhase3,shiftAvgPhase8
0.0500,0.8932,0,178.5712,0.0393,0.0193,0.2707,0.5268,26.0157,25.7981
0.0792,1.4168,0,177.7363,0.0622,0.0306,0.4290,0.8346,27.2408,27.0083
0.1256,2.2424,0,176.4138,0.0986,0.0484,0.6799,1.3226,26.1051,26.1295
0.1991,3.5426,0,174.3238,0.1561,0.0768,1.0773,2.0946,26.5857,26.5528
0.3155,5.5711,0,171.0333,0.2470,0.1217,1.7065,3.3128,26.7367,26.7450
0.5000,8.6578,0,165.9068,0.3903,0.1928,2.7006,5.2222,26.7918,26.8224
0.7924,13.1007,0,158.1045,0.6159,0.3056,4.2647,8.1676,26.8460,26.8735
1.2559,18.7273,0,146.8338,0.9696,0.4843,6.6988,12.5363,26.8519,26.9019
1.9905,24.2034,0,132.0660,1.5210,0.7675,10.3858,18.4444,26.8322,26.9039
3.1548,27.4086,0,115.1623,2.3718,1.2161,15.6229,24.9689,26.8023,26.8944
5.0000,27.7895,0,97.9094,3.6653,1.9260,22.0515,29.5736,26.7435,26.8685
7.9245,27.1433,0,80.9112,5.5860,3.0467,27.8026,29.8365,26.6600,26.8252
12.5594,26.9404,0,64.0883,8.3165,4.8063,29.9645,27.6550,26.5449,26.7587
19.9054,27.0073,0,48.3921,11.9671,7.5298,28.0304,27.8917,26.3849,26.6602
31.5479,27.0073,0,35.8614,16.4068,11.6016,26.9567,27.7745,26.1685,26.5163
50.0000,26.9987,0,27.8799,20.9629,17.2090,27.1751,27.4935,25.8779,26.3069
79.2447,26.9984,0,24.4359,24.9610,23.6232,26.7278,26.9837,25.4887,26.0023
125.5943,26.9990,0,24.4610,27.3800,28.4067,26.1406,26.1757,24.9719,25.5595
199.0536,26.9993,0,25.7496,27.8004,28.4773,25.2954,24.9922,24.2911,24.9166
315.4787,26.9995,0,25.5967,24.8776,24.5047,24.1409,23.3839,23.4006,23.9893
500.0000,26.9996,0,24.1843,24.4623,24.6674,22.6429,21.3919,22.2449,22.6676
792.4466,26.9996,0,22.7176,22.3879,22.2726,20.8046,19.3039,20.7513,20.8680
1255.9432,26.9996,0,20.2038,20.1753,20.2161,18.6639,17.6267,18.7914,18.6794
1990.5359,26.9996,0,16.2505,16.1482,16.1301,15.9646,15.9612,16.0386,15.9578
3154.7867,26.9995,0,9.9654,9.8763,9.8722,10.9325,11.5084,10.9070,10.9325
5000.0000,-0.0000,0,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000
