freq,CFEPhase,fullPhase,expPhase,recPhase,shiftAvgPhase1,shiftAvgPhase9,shiftAvgPhase5,shiftAvgPhase3,shiftAvgPhase8
0.0500,1.8685,0,179.5113,0.0653,0.0450,0.6399,1.2587,46.7391,46.4434
0.0792,2.9641,0,179.2256,0.1034,0.0713,1.0140,1.9937,45.7516,45.5573
0.1256,4.6876,0,178.7726,0.1639,0.1130,1.6068,3.1573,44.7255,44.7769
0.1991,7.3872,0,178.0548,0.2598,0.1791,2.5450,4.9922,44.9095,44.9390
0.3155,11.5408,0,176.9175,0.4117,0.2839,4.0273,7.8652,44.9068,44.9716
0.5000,17.6609,0,175.1173,0.6523,0.4499,6.3573,12.2823,44.8085,44.9219
0.7924,25.8862,0,172.2712,1.0333,0.7131,9.9768,18.7928,44.7527,44.8854
1.2559,35.0907,0,167.7889,1.6360,1.1300,15.4393,27.5338,44.6797,44.8516
1.9905,42.6422,0,160.7967,2.5871,1.7903,23.1532,37.3242,44.5773,44.7983
3.1548,46.2908,0,150.1286,4.0812,2.8352,32.6503,45.3971,44.4660,44.7367
5.0000,46.3421,0,134.6381,6.4055,4.4844,41.7879,49.0979,44.3206,44.6553
7.9245,45.2901,0,114.1868,9.9480,7.0714,47.5362,48.1269,44.1373,44.5482
12.5594,44.9246,0,90.9251,15.1227,11.0683,48.2850,46.0293,43.9075,44.4048
19.9054,44.9858,0,69.0458,22.0910,17.0232,45.7884,46.2522,43.6138,44.2101
31.5479,45.0005,0,52.5289,30.2526,25.1983,44.9950,45.8192,43.2386,43.9429
50.0000,44.9999,0,43.1419,37.9625,34.7185,44.8323,45.1735,42.7590,43.5720
79.2447,44.9998,0,40.3159,43.4637,42.9910,44.0856,44.1791,42.1424,43.0523
125.5943,44.9997,0,41.6171,45.9765,46.9756,43.0863,42.7539,41.3472,42.3186
199.0536,44.9997,0,43.2563,44.9719,45.4254,41.7281,40.8164,40.3190,41.2776
315.4787,44.9997,0,42.4466,41.4930,41.1947,39.9448,38.3386,38.9830,39.8045
500.0000,44.9997,0,40.3949,40.7956,40.9507,37.6852,35.4514,37.2358,37.7434
792.4466,44.9996,0,37.8558,37.6367,37.5840,34.9243,32.6328,34.9228,34.9968
1255.9432,44.9996,0,33.6838,33.7073,33.7372,31.5883,30.3257,31.7563,31.5998
1990.5359,44.9995,0,27.0837,27.0266,27.0230,26.8950,27.0811,26.9653,26.8881
3154.7867,44.9993,0,16.6075,16.5571,16.5566,17.9021,18.6049,17.8739,17.9024
5000.0000,-0.0000,0,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000
