time,input,GL,EXP20
12.7,1,0.896531,0.925032
12.75,1,0.897002,0.925654
12.8,1,0.897452,0.926259
12.85,1,0.897891,0.926848
12.9,1,0.89832,0.927423
12.95,1,0.898738,0.927985
13,1,0.899147,0.928532
13.05,1,0.899546,0.929067
13.1,1,0.899937,0.92959
13.15,1,0.900319,0.930101
13.2,1,0.900692,0.9306
13.25,1,0.901058,0.931089
13.3,1,0.901416,0.931567
13.35,1,0.901766,0.932035
13.4,1,0.902109,0.932493
13.45,1,0.902445,0.932941
13.5,1,0.902775,0.933381
13.55,1,0.903098,0.933812
13.6,1,0.903414,0.934234
13.65,1,0.903725,0.934648
13.7,1,0.90403,0.935054
13.75,1,0.904329,0.935452
13.8,1,0.904623,0.935843
13.85,1,0.904911,0.936227
13.9,1,0.905195,0.936603
13.95,1,0.905473,0.936973
14,1,0.905747,0.937337
14.05,1,0.906015,0.937694
14.1,1,0.90628,0.938044
14.15,1,0.90654,0.938389
14.2,1,0.906796,0.938728
14.25,1,0.907048,0.939062
14.3,1,0.907295,0.939389
14.35,1,0.907539,0.939712
14.4,1,0.907779,0.940029
14.45,1,0.908016,0.940342
14.5,1,0.908249,0.940649
14.55,1,0.908479,0.940951
14.6,1,0.908705,0.941249
14.65,1,0.908928,0.941543
14.7,1,0.909148,0.941832
14.75,1,0.909365,0.942116
14.8,1,0.909578,0.942397
14.85,1,0.909789,0.942673
14.9,1,0.909998,0.942946
14.95,1,0.910203,0.943214
15,1,0.910406,0.943479
15.05,1,0.910606,0.94374
15.1,1,0.910804,0.943997
15.15,1,0.910999,0.944251
15.2,1,0.911192,0.944501
15.25,1,0.911383,0.944749
15.3,1,0.911572,0.944992
15.35,1,0.911758,0.945233
15.4,1,0.911942,0.94547
15.45,1,0.912125,0.945705
15.5,1,0.912305,0.945936
15.55,1,0.912483,0.946164
15.6,1,0.912659,0.94639
15.65,1,0.912834,0.946613
15.7,1,0.913007,0.946833
15.75,1,0.913178,0.94705
15.8,1,0.913347,0.947265
15.85,1,0.913515,0.947477
15.9,1,0.913681,0.947687
15.95,1,0.913846,0.947894
16,1,0.914009,0.948098
16.05,1,0.914171,0.948301
16.1,1,0.914332,0.948501
16.15,1,0.914491,0.948699
16.2,1,0.914648,0.948894
16.25,1,0.914805,0.949087
16.3,1,0.91496,0.949279
16.35,1,0.915114,0.949468
16.4,1,0.915267,0.949655
16.45,1,0.915418,0.94984
16.5,1,0.915569,0.950023
16.55,1,0.915719,0.950204
16.6,1,0.915867,0.950383
16.65,1,0.916015,0.950561
16.7,1,0.916161,0.950736
16.75,1,0.916307,0.95091
16.8,1,0.916452,0.951082
16.85,1,0.916596,0.951252
16.9,1,0.916739,0.951421
16.95,1,0.916881,0.951587
17,1,0.917022,0.951753
17.05,1,0.917163,0.951916
17.1,1,0.917303,0.952078
17.15,1,0.917443,0.952239
17.2,1,0.917581,0.952398
17.25,1,0.917719,0.952555
17.3,1,0.917857,0.952711
17.35,1,0.917994,0.952866
17.4,1,0.91813,0.953019
17.45,1,0.918266,0.95317
17.5,1,0.918401,0.953321
17.55,1,0.918536,0.95347
17.6,1,0.918671,0.953617
17.65,1,0.918804,0.953763
17.7,1,0.918938,0.953908
17.75,1,0.919071,0.954052
17.8,1,0.919204,0.954195
17.85,1,0.919336,0.954336
17.9,1,0.919468,0.954476
17.95,1,0.9196,0.954615
18,1,0.919732,0.954753
18.05,1,0.919863,0.954889
18.1,1,0.919994,0.955025
18.15,1,0.920125,0.955159
18.2,1,0.920255,0.955292
18.25,1,0.920385,0.955424
18.3,1,0.920516,0.955556
18.35,1,0.920646,0.955686
18.4,1,0.920775,0.955815
18.45,1,0.920905,0.955943
18.5,1,0.921035,0.95607
18.55,1,0.921165,0.956196
18.6,1,0.921294,0.956321
18.65,1,0.921423,0.956445
18.7,1,0.921553,0.956568
18.75,1,0.921682,0.95669
18.8,1,0.921812,0.956812
18.85,1,0.921941,0.956932
18.9,1,0.922071,0.957052
18.95,1,0.9222,0.95717
19,1,0.92233,0.957288
19.05,1,0.922459,0.957405
19.1,1,0.922589,0.957521
19.15,1,0.922719,0.957637
19.2,1,0.922848,0.957751
19.25,1,0.922978,0.957865
19.3,1,0.923109,0.957978
19.35,1,0.923239,0.95809
19.4,1,0.923369,0.958201
19.45,1,0.9235,0.958312
19.5,1,0.923631,0.958422
19.55,1,0.923762,0.958531
19.6,1,0.923893,0.958639
19.65,1,0.924024,0.958747
19.7,1,0.924156,0.958854
19.75,1,0.924288,0.95896
19.8,1,0.92442,0.959066
19.85,1,0.924553,0.959171
19.9,1,0.924685,0.959275
19.95,1,0.924818,0.959379
20,1,0.924951,0.959482
20.05,1,0.925085,0.959584
20.1,1,0.925219,0.959686
20.15,1,0.925353,0.959787
20.2,1,0.925488,0.959887
20.25,1,0.925623,0.959987
20.3,1,0.925758,0.960086
20.35,1,0.925894,0.960185
20.4,1,0.92603,0.960283
20.45,1,0.926166,0.960381
20.5,1,0.926303,0.960477
20.55,1,0.92644,0.960574
20.6,1,0.926577,0.96067
20.65,1,0.926715,0.960765
20.7,1,0.926854,0.960859
20.75,1,0.926993,0.960954
20.8,1,0.927132,0.961047
20.85,1,0.927272,0.96114
20.9,1,0.927412,0.961233
20.95,0,0.110297,0.144069
21,0,0.09374,0.127463
21.05,0,0.0885948,0.1176
21.1,0,0.0838208,0.109924
21.15,0,0.0797886,0.10369
21.2,0,0.0763498,0.0984458
21.25,0,0.0733529,0.0939234
21.3,0,0.0706952,0.0899511
21.35,0,0.0683091,0.0864138
21.4,0,0.0661482,0.0832299
21.45,0,0.0641785,0.0803393
21.5,0,0.0623733,0.0776961
21.55,0,0.0607113,0.0752646
21.6,0,0.0591747,0.0730161
21.65,0,0.0577487,0.0709274
21.7,0,0.0564209,0.0689794
21.75,0,0.0551807,0.0671562
21.8,0,0.0540192,0.0654444
21.85,0,0.0529288,0.0638327
21.9,0,0.051903,0.0623113
