inputFreq	CFEAmp	CFEPhase,fullAmp	fullPhase	expAmp	expPhase	recAmp	recPhase	shiftAvgAmp1	shiftAvgPhase1	shiftAvgAmp2	shiftAvgPhase2	shiftAvgAmp3	shiftAvgPhase3	shiftAvgAmp4	shiftAvgPhase4	shiftAvgAmp5	shiftAvgPhase5	shiftAvgAmp6	shiftAvgPhase6
0.0500	0.0136	16.7910	0.4596	45.7266	28.2784	177.6458	5.1755	0.2368	5.8651	0.1619	1.9806	1.7783	0.8150	11.9823	1.1238	6.0726	1.9806	1.7783	0.8150	11.9823
0.0792	0.0148	24.5875	0.6497	45.1300	28.2527	176.2754	5.1756	0.3752	5.8652	0.2566	1.9826	2.8151	0.8538	18.1692	1.1382	9.5022	1.9826	2.8151	0.8538	18.1692
0.1256	0.0172	33.7993	0.8369	44.8009	28.2070	174.0937	5.1760	0.5946	5.8653	0.4067	1.9876	4.4538	0.9391	26.4299	1.1721	14.6898	1.9876	4.4538	0.9391	26.4299
0.1991	0.0218	41.6634	1.0745	44.9328	28.1009	170.6615	5.1768	0.9419	5.8656	0.6446	1.9998	7.0238	1.1140	35.2941	1.2511	21.9318	1.9998	7.0238	1.1140	35.2941
0.3155	0.0291	45.7533	1.3734	44.9830	27.8204	165.2708	5.1788	1.4914	5.8664	1.0215	2.0303	10.9952	1.4302	42.0839	1.4259	30.6342	2.0303	10.9952	1.4302	42.0839
0.5000	0.0387	46.1295	1.7442	44.9467	27.1679	156.9867	5.1838	2.3588	5.8684	1.6185	2.1046	16.9109	1.8969	45.0208	1.7616	38.6235	2.1046	16.9109	1.8969	45.0208
0.7924	0.0496	45.2471	2.2090	44.9191	25.7429	144.6635	5.1960	3.7222	5.8734	2.5633	2.2790	25.0365	2.4821	45.0020	2.3065	43.3636	2.2790	25.0365	2.4821	45.0020
1.2559	0.0625	44.9344	2.7912	44.8848	23.1359	127.6522	5.2256	5.8462	5.8859	4.0556	2.6580	34.5171	3.1568	44.1660	3.0362	44.4003	2.6580	34.5171	3.1568	44.1660
1.9905	0.0787	44.9957	3.5221	44.8156	19.4931	106.7789	5.2955	9.0931	5.9171	6.3996	3.3879	42.8282	3.9608	43.6310	3.8876	43.5684	3.3879	42.8282	3.9608	43.6310
3.1548	0.0993	45.0035	4.4406	44.7120	15.8931	84.5882	5.4567	13.8681	5.9947	10.0338	4.5854	47.1814	4.9600	43.2312	4.8654	42.6926	4.5854	47.1814	4.9600	43.2312
5.0000	0.1251	44.9975	5.5955	44.5457	13.3544	64.3473	5.8112	20.3855	6.1850	15.4921	6.1983	46.9071	6.2019	42.7564	6.0490	42.1270	6.1983	46.9071	6.2019	42.7564
7.9245	0.1576	44.9969	7.0483	44.2825	12.0575	49.0462	6.5334	28.1925	6.6359	23.1162	7.9857	44.4540	7.7371	42.1393	7.5057	41.6006	7.9857	44.4540	7.7371	42.1393
12.5594	0.1986	44.9970	8.8759	43.8653	11.7398	40.2270	7.8609	35.7874	7.6360	32.2759	9.9914	42.6486	9.6263	41.3433	9.2923	41.0239	9.9914	42.6486	9.6263	41.3433
19.9054	0.2501	44.9970	11.1745	43.2041	12.2956	37.5114	10.0564	41.3875	9.6254	40.6034	12.4872	40.8112	11.9375	40.3155	11.4800	40.3864	12.4872	40.8112	11.9375	40.3155
31.5479	0.3152	44.9968	14.0631	42.1563	13.9901	38.7343	13.2456	43.8762	13.0403	44.8755	15.4358	38.3356	14.7452	38.9791	14.1719	39.6419	15.4358	38.3356	14.7452	38.9791
50.0000	0.3979	44.9967	17.6842	40.4956	17.2851	40.1547	17.7894	42.7323	17.8469	43.2233	18.7500	35.4479	18.1314	37.2318	17.5264	38.6389	18.7500	35.4479	18.1314	37.2318
79.2447	0.5041	44.9964	22.1953	37.8635	22.1882	38.3586	22.6295	37.5377	22.7388	37.2735	22.3535	32.6294	22.1930	34.9190	21.7882	36.9897	22.3535	32.6294	22.1930	34.9190
125.5943	0.6452	44.9959	27.7247	33.6922	27.7649	33.5348	27.4170	33.6359	27.3294	33.7351	26.5763	30.3222	27.0801	31.7524	27.2801	33.8521	26.5763	30.3222	27.0801	31.7524
199.0536	0.8497	44.9951	34.2143	27.0813	34.2342	27.1374	34.3142	26.7220	34.2988	26.6597	32.4754	27.0772	33.1524	26.9618	34.1640	27.7079	32.4754	27.0772	33.1524	26.9618
315.4787	1.2358	44.9928	40.9047	16.6042	40.9181	16.6242	40.8877	16.3611	40.8642	16.3471	40.4935	18.6020	40.5899	17.8712	41.2107	16.5163	40.4935	18.6020	40.5899	17.8712
500.0000	5.4592	180.0000	3.3014	-180.0000	3.3003	-180.0000	3.3130	-180.0000	3.3130	-180.0000	3.4002	-180.0000	3.3667	-180.0000	3.2807	-180.0000	3.4002	-180.0000	3.3667	-180.0000
