inputFreq,CFEAmp,CFEPhase,fullAmp,fullPhase,expAmp,expPhase,recAmp,recPhase,shiftAvgAmp1,shiftAvgPhase1,shiftAvgAmp9,shiftAvgPhase9,shiftAvgAmp5,shiftAvgPhase5,shiftAvgAmp3,shiftAvgPhase3,shiftAvgAmp8,shiftAvgPhase8
0.0500,2.4144,-24.8121,2.4202,-24.8885,1.6150,-12.0425,2.3919,-24.8408,0.5724,-1.4753,1.9207,-15.9008,2.3176,-22.8235,2.3519,-25.1593,2.3739,-25.0817
0.0792,1.6885,-40.2562,1.6855,-40.3958,1.5075,-18.7213,1.6664,-40.2985,0.5721,-2.3350,1.7302,-25.2848,1.7667,-37.2908,1.6236,-41.5846,1.6426,-41.2587
0.1256,1.1714,-37.3033,1.1708,-36.9732,1.3467,-27.6171,1.1577,-36.7877,0.5715,-3.7044,1.4329,-38.0423,1.1749,-43.3114,1.1049,-36.6165,1.1241,-36.5937
0.1991,0.9187,-41.5258,0.9168,-41.4399,1.0963,-36.7269,0.9128,-41.4248,0.5699,-5.8681,0.9508,-47.4464,0.9230,-39.1999,0.8691,-41.6104,0.8842,-41.6810
0.3155,0.7219,-42.1206,0.7212,-41.8216,0.8203,-44.3081,0.7161,-41.0187,0.5659,-9.2933,0.6793,-40.3957,0.7109,-42.6738,0.6839,-41.7361,0.6959,-41.7220
0.5000,0.5709,-43.4105,0.5708,-42.9955,0.5909,-47.1742,0.5563,-43.5946,0.5560,-14.6711,0.5709,-43.9774,0.5594,-43.4764,0.5442,-42.8791,0.5518,-42.9351
0.7924,0.4521,-43.9983,0.4522,-43.3156,0.4384,-45.7662,0.4527,-41.9346,0.5314,-23.0433,0.4438,-43.6588,0.4386,-43.9866,0.4314,-42.9063,0.4376,-43.1659
1.2559,0.3585,-44.2136,0.3588,-43.0963,0.3462,-42.7940,0.3455,-42.3243,0.4737,-35.6146,0.3494,-43.4970,0.3446,-43.8867,0.3431,-42.4687,0.3477,-42.7866
1.9905,0.2835,-44.5590,0.2839,-42.7866,0.2844,-41.6209,0.2983,-43.0117,0.3505,-51.7982,0.2758,-42.9010,0.2710,-43.1780,0.2723,-41.8706,0.2753,-42.3280
3.1548,0.2248,-44.6721,0.2254,-41.8485,0.2274,-42.1955,0.2380,-42.4406,0.1795,-49.8634,0.2183,-41.5928,0.2137,-41.6384,0.2173,-40.5208,0.2190,-41.1317
5.0000,0.1778,-44.7991,0.1790,-40.3159,0.1781,-40.1387,0.1702,-40.1345,0.2081,-34.8943,0.1737,-39.4199,0.1697,-39.0108,0.1742,-38.6132,0.1745,-39.2695
7.9245,0.1403,-44.8564,0.1426,-37.7411,0.1423,-37.8894,0.1397,-36.7002,0.1321,-29.7242,0.1397,-36.1570,0.1371,-35.0667,0.1408,-35.7458,0.1401,-36.2456
12.5594,0.1096,-44.9011,0.1141,-33.6171,0.1139,-33.6041,0.1079,-32.2362,0.1232,-28.4552,0.1142,-31.6788,0.1140,-30.1293,0.1150,-31.7663,0.1141,-31.7751
19.9054,0.0832,-44.9326,0.0924,-27.0391,0.0924,-27.0691,0.0901,-27.3257,0.0928,-21.3250,0.0950,-26.0064,0.0969,-25.2138,0.0950,-26.2763,0.0949,-25.9933
31.5479,0.0572,-44.9519,0.0773,-16.5834,0.0773,-16.6082,0.0732,-13.6500,0.0775,-11.7962,0.0789,-17.9167,0.0801,-18.9134,0.0786,-17.8733,0.0789,-17.9079
50.0000,0.0001,-180.0000,0.0052,-180.0000,0.0052,-180.0000,0.0048,-180.0000,0.0048,-180.0000,0.0050,-180.0000,0.0049,-180.0000,0.0050,-180.0000,0.0050,-180.0000
