inputFreq,CFEAmp,CFEPhase,fullAmp,fullPhase,expAmp,expPhase,recAmp,recPhase,shiftAvgAmp1,shiftAvgPhase1,shiftAvgAmp9,shiftAvgPhase9,shiftAvgAmp5,shiftAvgPhase5,shiftAvgAmp3,shiftAvgPhase3,shiftAvgAmp8,shiftAvgPhase8
0.0500,2.3543,1.0771,0.4596,45.7266,0.0000,0.0000,0.0000,0.0000,5.8651,0.1619,2.6527,0.9341,1.9806,1.7783,0.8150,11.9823,1.4991,3.1654
0.0792,2.3552,1.7061,0.6497,45.1300,0.0000,0.0000,0.0000,0.0000,5.8652,0.2566,2.6535,1.4798,1.9826,2.8151,0.8538,18.1692,1.5043,4.9985
0.1256,2.3575,2.7024,0.8369,44.8009,0.0000,0.0000,0.0000,0.0000,5.8653,0.4067,2.6553,2.3444,1.9876,4.4538,0.9391,26.4299,1.5165,7.8718
0.1991,2.3629,4.2748,1.0745,44.9328,0.0000,0.0000,0.0000,0.0000,5.8656,0.6446,2.6600,3.7104,1.9998,7.0238,1.1140,35.2941,1.5465,12.2680
0.3155,2.3768,6.7422,1.3734,44.9830,0.0000,0.0000,0.0000,0.0000,5.8664,1.0215,2.6716,5.8597,2.0303,10.9952,1.4302,42.0839,1.6195,18.6761
0.5000,2.4110,10.5561,1.7442,44.9467,0.0000,0.0000,0.0000,0.0000,5.8684,1.6185,2.7005,9.2040,2.1046,16.9109,1.8969,45.0208,1.7860,27.0665
